track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name
0G3S4MVnjb8w30RZk04PI9,Tirador,0e7I5fhtxrhsH8xrjGGDiv,Abra,0hKudBWmBfdLfgG3jO75Ou,204500,2018-02-14,23,0.881,0.803,2,-9.34,0,0.298,0.323,7.56e-05,0.117,0.933,154.1,0G3S4MVnjb8w30RZk04PI9,0G3S4MVnjb8w30RZk04PI9
3cjagL4KelPVGSdXOZSnFt,Nadarama,0e7I5fhtxrhsH8xrjGGDiv,Abra,0hKudBWmBfdLfgG3jO75Ou,252427,2018-02-14,24,0.395,0.42,0,-8.457,1,0.0614,0.474,0.552,0.106,0.564,73.401,3cjagL4KelPVGSdXOZSnFt,3cjagL4KelPVGSdXOZSnFt
2rx51mcKBTEDFkaqxsFhRg,Shabugg,0e7I5fhtxrhsH8xrjGGDiv,Abra,0hKudBWmBfdLfgG3jO75Ou,193989,2018-02-14,17,0.894,0.707,5,-7.949,0,0.197,0.157,2.81e-06,0.395,0.357,116.035,2rx51mcKBTEDFkaqxsFhRg,2rx51mcKBTEDFkaqxsFhRg
0hFtGykXOriTvTL63YrFkl,Apoy,0e7I5fhtxrhsH8xrjGGDiv,Abra,0hKudBWmBfdLfgG3jO75Ou,251000,2018-02-14,32,0.908,0.624,2,-8.435,1,0.246,0.00734,0.00018,0.223,0.216,88.023,0hFtGykXOriTvTL63YrFkl,0hFtGykXOriTvTL63YrFkl
4QJbP6dS3HeG6zq0oYUsgj,We Wish You A Merry Christmas,4mrrcDjpjUq27YEGwlisgs,Gracenote,0tHsNPEtTsNSkT977fE2XE,205489,2017-10-13,14,0.721,0.644,2,-11.762,1,0.114,0.309,0.000621,0.298,0.302,120.244,4QJbP6dS3HeG6zq0oYUsgj,4QJbP6dS3HeG6zq0oYUsgj
5kWU297LVffypKeE0vM7ao,Pause,0e7I5fhtxrhsH8xrjGGDiv,Abra,1waSktqN636A1pwqhnuUMZ,211992,2017-08-25,18,0.955,0.817,4,-5.018,1,0.0922,0.356,0.0,0.0973,0.83,117.08,5kWU297LVffypKeE0vM7ao,5kWU297LVffypKeE0vM7ao
1SJSfVT8ONvuddiistQH73,Stargazer,4mrrcDjpjUq27YEGwlisgs,Gracenote,2yDV2QdYGYeLycd2zeBnRr,260034,2017-08-25,17,0.681,0.644,6,-6.729,1,0.0616,0.606,2.33e-06,0.0743,0.334,160.168,1SJSfVT8ONvuddiistQH73,1SJSfVT8ONvuddiistQH73
3bjWcffGJnZJ7ofpNlOADi,Dedma,4NeCu267LZemnoq44lZYKy,Julie Anne San Jose,6aDltPbaZmkC8MeGhKfvaj,227518,2014-10-31,33,0.728,0.851,8,-8.132,1,0.233,0.703,5.59e-05,0.109,0.482,138.163,3bjWcffGJnZJ7ofpNlOADi,3bjWcffGJnZJ7ofpNlOADi
0VvzQNXZ8eOsB6GBjLo9NG,Points of View,21r4bBNORdjlQ6oPr52GUq,JAYA,5hk3FmbhIcCsvPLDFqgnFk,248560,2021-02-07,8,0.512,0.35,4,-6.928,1,0.029,0.863,0.0,0.136,0.421,138.575,0VvzQNXZ8eOsB6GBjLo9NG,0VvzQNXZ8eOsB6GBjLo9NG
15gR7vmYPgwKhXMBVPSt0H,Lupin,6ty99gP6NrhgCOkMF2ONpy,Janno Gibbs,5hk3FmbhIcCsvPLDFqgnFk,253480,2021-02-07,2,0.681,0.624,10,-8.39,0,0.0292,0.00862,0.000642,0.12,0.396,119.966,15gR7vmYPgwKhXMBVPSt0H,15gR7vmYPgwKhXMBVPSt0H
