date,streams
2017-04-01,20083
2017-04-02,26829
2017-04-03,33913
2017-04-04,42377
2017-04-05,44242
2017-04-06,44838
2017-04-07,45552
2017-04-08,42278
2017-04-09,39481
2017-04-10,43730
2017-04-11,45046
2017-04-12,45095
2017-04-13,39820
2017-04-14,50591
2017-04-15,65872
2017-04-16,68812
2017-04-17,82242
2017-04-18,83415
2017-04-19,82973
2017-04-20,79054
2017-04-21,79089
2017-04-22,73127
2017-04-23,68513
2017-04-24,77265
2017-04-25,76512
2017-04-26,79343
2017-04-27,78733
2017-04-28,76756
2017-04-29,71059
2017-04-30,66162
2017-05-01,71431
2017-05-02,74835
2017-05-03,78810
2017-05-04,76879
2017-05-05,76682
2017-05-06,72051
2017-05-07,69631
2017-05-08,77450
2017-05-09,77054
2017-05-10,76212
2017-05-11,76343
2017-05-12,76246
2017-05-13,75537
2017-05-14,72253
2017-05-15,78531
2017-05-16,77907
2017-05-17,77868
2017-05-18,78105
2017-05-19,80112
2017-05-20,74921
2017-05-21,70647
2017-05-22,78208
2017-05-23,76457
2017-05-24,75532
2017-05-25,77120
2017-05-26,78646
2017-05-27,76304
2017-05-28,73158
2017-05-29,80785
2017-06-01,77788
2017-06-03,75553
2017-06-04,71221
2017-06-05,74429
2017-06-06,76570
2017-06-07,74771
2017-06-08,72719
2017-06-09,76190
2017-06-10,72047
2017-06-11,69585
2017-06-12,74720
2017-06-13,71408
2017-06-14,73683
2017-06-15,75269
2017-06-16,74878
2017-06-17,75481
2017-06-18,72334
2017-06-19,73407
2017-06-20,72315
2017-06-21,70935
2017-06-22,65610
2017-06-23,62956
2017-06-24,62307
2017-06-25,56515
2017-06-26,59486
2017-06-27,56015
2017-06-28,56311
2017-06-29,56934
2017-06-30,57210
2017-07-01,59081
2017-07-02,52529
2017-07-03,52487
2017-07-04,52955
2017-07-05,53330
2017-07-06,53403
2017-07-07,53607
2017-07-08,54549
2017-07-09,50657
2017-07-10,50496
2017-07-11,47848
2017-07-12,45800
2017-07-13,45571
2017-07-14,47777
2017-07-15,55061
2017-07-16,53034
2017-07-17,52193
2017-07-18,50496
2017-07-19,47782
2017-07-20,47354
2017-07-21,47370
2017-07-22,48187
2017-07-23,44337
2017-07-24,42451
2017-07-25,42759
2017-07-26,42210
2017-07-27,45077
2017-07-28,46155
2017-07-29,45341
2017-07-30,41259
2017-07-31,40774
2017-08-01,40390
2017-08-02,41226
2017-08-03,41766
2017-08-04,42405
2017-08-05,45045
2017-08-06,42090
2017-08-07,38687
2017-08-08,38774
2017-08-09,39243
2017-08-10,40552
2017-08-11,40507
2017-08-12,42845
2017-08-13,40219
2017-08-14,37889
2017-08-15,38848
2017-08-16,38696
2017-08-17,39262
2017-08-18,39712
2017-08-19,42153
2017-08-20,38868
2017-08-21,38606
2017-08-22,37417
2017-08-23,35118
2017-08-24,36123
2017-08-25,75357
2017-08-26,83488
2017-08-27,75732
2017-08-28,89316
2017-08-29,81847
2017-08-30,86147
2017-08-31,84151
2017-09-01,89893
2017-09-02,86177
2017-09-03,83526
2017-09-04,80342
2017-09-05,82783
2017-09-06,82322
2017-09-07,77519
2017-09-08,76536
2017-09-09,78349
2017-09-10,73037
2017-09-11,65677
2017-09-12,70947
2017-09-13,71488
2017-09-14,71991
2017-09-15,73050
2017-09-16,76325
2017-09-17,72591
2017-09-18,68194
2017-09-19,67788
2017-09-20,66916
2017-09-21,73486
2017-09-22,68782
2017-09-23,74210
2017-09-24,70417
2017-09-25,91262
2017-09-26,91960
2017-09-27,92969
2017-09-28,89809
2017-09-29,90512
2017-09-30,93116
2017-10-01,89407
2017-10-02,84505
2017-10-03,89171
2017-10-04,66654
2017-10-05,87684
2017-10-06,89186
2017-10-07,93138
2017-10-08,88906
2017-10-09,83386
2017-10-10,85480
2017-10-11,63629
2017-10-12,84920
2017-10-13,84368
2017-10-14,90133
2017-10-15,84910
