artist_id,artist_name,total_followers,genres,popularity
0du5cEVh5yTK9QJze8zA0C,Bruno Mars,36177001,"['dance pop', 'pop']",92
4IWBUUAFIplrNtaOHcJPRM,James Arthur,9022482,"['pop', 'talent show', 'uk pop']",83
69GGBxA162lTqCwzJG5jLp,The Chainsmokers,18603577,"['dance pop', 'edm', 'electropop', 'pop', 'pop dance', 'tropical house']",83
04gDigrS5kc9YWfZHwBETP,Maroon 5,34223378,"['pop', 'pop rock']",88
5p7f24Rk5HkUZsaS3BLG5F,Hailee Steinfeld,7244716,"['dance pop', 'pop', 'post-teen pop']",75
2wUjUUtkb5lvLKcGKsKqsR,Alessia Cara,9696331,"['canadian contemporary r&b', 'canadian pop', 'dance pop', 'electropop', 'pop', 'post-teen pop']",80
540vIaP2JwjQb9dm3aArA4,DJ Snake,7622894,"['dance pop', 'edm', 'electronic trap', 'pop', 'pop dance', 'pop rap']",83
1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,39452393,"['canadian contemporary r&b', 'canadian pop', 'pop']",96
46GXASE9LHzyssNqKOInUu,Dawin,217051,['nyc pop'],55
738wLrAtLtCtFOLvQBXOXp,Major Lazer,6250741,"['dance pop', 'edm', 'electro house', 'moombahton', 'pop', 'pop dance', 'pop rap', 'tropical house']",78
1HBjj22wzbscIZ9sEb5dyf,Jonas Blue,3424839,"['dance pop', 'edm', 'pop', 'pop dance', 'tropical house', 'uk dance']",78
6TIYQ3jFPwQSRmorSezPxX,Machine Gun Kelly,4197673,"['ohio hip hop', 'pop rap']",85
5ZsFI1h6hIdQRw2ti0hz81,ZAYN,18177852,"['dance pop', 'pop', 'post-teen pop', 'uk pop']",81
7gAppWoH7pcYmphCVTXkzs,The Vamps,4870811,"['boy band', 'dance pop', 'pop', 'post-teen pop']",75
60d24wfXkVzDSfLS6hyCjZ,Martin Garrix,15249153,"['dance pop', 'dutch edm', 'edm', 'pop', 'pop dance', 'progressive house', 'tropical house']",81
66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,72919065,"['dance pop', 'pop']",94
02A3cEvlLLCbIMVDrK2GHV,Starley,150046,"['aussietronica', 'tropical house']",59
2oX42qP5ineK3hrhBECLmj,Andy Grammer,1011412,"['dance pop', 'modern rock', 'neo mellow', 'pop', 'pop rap', 'pop rock', 'post-teen pop']",74
7n2wHs1TKAczGzO7Dd2rGr,Shawn Mendes,35620264,"['canadian pop', 'dance pop', 'pop', 'viral pop']",88
6MDME20pz9RveH9rEXvrOM,Clean Bandit,4586475,"['dance pop', 'edm', 'pop', 'pop dance', 'tropical house', 'uk dance', 'uk funky']",80
0jKQrxK2zHqxyOAyIMrUQt,SUD,395696,"['opm', 'pinoy rock']",55
6VuMaDnrHyPL1p4EHjYLi7,Charlie Puth,14664112,"['dance pop', 'pop', 'viral pop']",81
77AiFEVeAVj2ORpC85QVJs,Steve Aoki,3613931,"['dance pop', 'edm', 'electro house', 'pop dance', 'pop rap', 'tropical house']",77
3e7awlrlDSwF3iM0WBjGMp,Little Mix,9834728,"['dance pop', 'girl group', 'pop', 'post-teen pop', 'talent show', 'uk pop']",83
3iri9nBFs9e4wN7PLIetAw,Garrett Nash,1600105,"['electropop', 'pop', 'pop rap']",70
31TPClRtHm23RisEBtV3X7,Justin Timberlake,11465855,"['dance pop', 'pop']",81
7iZtZyCzp3LItcw1wtPI3D,Rae Sremmurd,6656481,"['hip hop', 'melodic rap', 'mississippi hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",77
3WGpXCj9YhhfX11TToZcXP,Troye Sivan,6231111,"['australian pop', 'dance pop', 'electropop', 'pop', 'viral pop']",80
3TVXtAsR1Inumwj472S9r4,Drake,59353055,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",98
6Dd3NScHWwnW6obMFbl1BH,Daya,1321295,"['alt z', 'dance pop', 'edm', 'electropop', 'indie poptimism', 'pop', 'pop dance', 'post-teen pop', 'tropical house']",74
7nKeLE1toRtW4M279iS26h,Zay Hilfigerrr,62419,[],44
4nGp682WMiKS4X217kPw8C,Silent Sanctuary,2263543,"['opm', 'pinoy rock']",64
2LZDXcxJWgsJfKXZv9a5eG,Cashmere Cat,314076,"['downtempo', 'pop', 'shiver pop']",60
3tQx1LPXbsYjE9VwN1Peaa,Marc E. Bassy,377501,"['pop', 'pop rap', 'r&b']",70
6lB8vOoI4DRrrVxXwuV19c,Mike Perry,1273750,"['dance pop', 'edm', 'electro house', 'pop', 'pop dance', 'pop edm', 'swedish tropical house', 'tropical house']",68
50JJSqHUf2RQ9xsHs0KMHg,Jon Bellion,1252853,['pop rap'],72
3wbCeEPAW6po7J46netxMT,Up Dharma Down,776570,"['opm', 'pinoy indie', 'pinoy reggae', 'pinoy rock', 'pop rock']",57
0q4NrXqJnc367PieejuROJ,Vice,19455,['chicano rap'],48
6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,89167008,"['pop', 'uk pop']",96
0rZRTXEmmPmx6gt92tBqIc,Moira Dela Torre,6457183,['opm'],70
3r3Rkuc4jmZHXgchgaXwnv,Suzi,8317,[],44
15NtJjjHRFybdNSMyM9smT,Nevada,14410,['eurodance'],50
7CajNmpbOovFoOoasH2HaY,Calvin Harris,22344014,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'pop rap', 'progressive house', 'uk dance']",85
1l8Fu6IkuTP0U5QetQJ5Xt,Fifth Harmony,13623226,"['dance pop', 'girl group', 'pop', 'post-teen pop', 'talent show']",73
1vg8YXdgvLLPPeXZkM7g5W,Daryl Ong,532395,['opm'],51
1Xylc3o4UrD53lo9CvFvVg,Zara Larsson,9512637,"['dance pop', 'edm', 'electropop', 'pop', 'pop dance', 'post-teen pop', 'scandipop', 'swedish electropop', 'swedish pop', 'tropical house']",78
0NGAZxHanS9e0iNHpR8f2W,Alok,10834551,"['electro house', 'pop nacional', 'slap house']",82
787bCXOIvGeBw0Bc4kEjhD,Luke Christopher,161395,"['indie pop rap', 'pop rap']",54
0DnjaQqb436AH1idffI6CQ,Yeng Constantino,2086047,['opm'],60
1uNFoZAHBGtllmzznpCI3s,Justin Bieber,54009889,"['canadian pop', 'pop']",97
1t2caVgyabZrVDAlmMGraV,Michael Pangilinan,1338457,['opm'],58
3Gm5F95VdRxW3mqCn8RPBJ,Aminé,1702319,"['hip hop', 'pop', 'portland hip hop', 'rap', 'underground hip hop']",77
2KsP6tYLJlTBvSUxnwlVWa,Mike Posner,1206183,"['dance pop', 'edm', 'pop', 'pop rap', 'rap']",73
25u4wHJWxCA9vO0CzxAbK7,Lukas Graham,1891376,"['danish pop', 'pop', 'scandipop']",76
05o1zW8b6PV6rEquXr74sB,State of Sound,43349,"['deep tropical house', 'swedish tropical house', 'tropical house']",45
5y2Xq6xcjJb2jVM54GHK3t,John Legend,6031076,"['neo soul', 'pop', 'pop soul', 'r&b', 'urban contemporary']",83
5WUlDfRSoLAfcVSX1WnrxN,Sia,21695666,"['australian dance', 'australian pop', 'pop']",89
4BNWanhw4AjSXjBm9L1Jzy,Juris,602775,['opm'],58
6T5tfhQCknKG4UnH90qGnz,DNCE,3993198,"['dance pop', 'pop', 'post-teen pop']",70
2kZThDGZcHl4klYYFk0v8n,Moonstar88,740878,"['opm', 'pinoy rock', 'pop rock']",55
4dpARuHxo51G3z768sgnrY,Adele,31988892,"['british soul', 'pop', 'pop soul', 'uk pop']",96
4qzcg58jZdJ9ujEI6Cs3Ad,Krissy,14807,['opm'],38
0bdfiayQAKewqEvaU6rXCv,MØ,1358393,"['art pop', 'dance pop', 'danish pop', 'electropop', 'indie poptimism', 'pop', 'tropical house']",73
6JL8zeS1NmiOftqZTRgdTz,Meghan Trainor,10982761,"['dance pop', 'hip pop', 'pop', 'post-teen pop']",82
3t5xRXzsuZmMDkQzgOX35S,Robin Schulz,2848688,"['dance pop', 'deep euro house', 'deep house', 'edm', 'german dance', 'pop', 'pop dance', 'tropical house']",81
4gzpq5DPGxSnKTe4SA8HAU,Coldplay,33068883,"['permanent wave', 'pop']",92
7vk5e3vY1uw9plTHJAMwjN,Alan Walker,31625295,['electro house'],84
