track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name
5kOBEsqVNwi4udPRbagNIV,Time After Time,4M5nCE77Qaxayuhp3fVn4V,Iron & Wine,1jqSjDD9xDV8QYWyRW0U6q,170216,2016-10-28,21,0.628,0.248,1,-13.304,1,0.032,0.814,0.0602,0.111,0.646,125.298,37i9dQZF1DWXmlLSKkfdAk,Acoustic Covers
2oeEe3EdRBaUPRHmIbgQLU,I Still Haven't Found What I'm Looking For,6nFBonVf7Lqaj05R0v5VGJ,Sarah Jarosz,1mgj4CyzzcC05pQQGoPzLN,212157,2021-01-29,60,0.587,0.141,1,-9.386,1,0.0308,0.919,5.41e-06,0.103,0.505,105.38,37i9dQZF1DWXmlLSKkfdAk,Acoustic Covers
66aH9gXNBfTJUikVIZfzcA,Days Like This,5KNNVgR6LBIABRIomyCwKJ,Dermot Kennedy,55yX6dAMACVgUGxG2RCnIq,149803,2020-11-06,0,0.642,0.214,3,-9.25,1,0.198,0.909,0.0,0.122,0.38,80.444,37i9dQZF1DWXmlLSKkfdAk,Acoustic Covers
4LloVtxNZpeh7q7xdi1DQc,"Free Fallin' - Live at the Nokia Theatre, Los Angeles, CA - December 2007",0hEurMDQu99nJRq8pTxO14,John Mayer,4Dgxy95K9BWkDUvQPTaYBb,263573,2008,73,0.315,0.296,5,-13.262,1,0.0315,0.771,0.0,0.702,0.435,173.509,37i9dQZF1DWXmlLSKkfdAk,Acoustic Covers
6itWAD2WxmAVQgWuk85yXx,Stay With Me - Live From Spotify Berlin,4tvKz56Tr39bkhcQUTO0Xr,Angus & Julia Stone,5ota1DtixKfUcrsiazzgcK,174373,2015-01-13,52,0.614,0.106,0,-22.097,1,0.0413,0.838,0.0509,0.708,0.169,75.89,37i9dQZF1DWXmlLSKkfdAk,Acoustic Covers
79ms40oOzof3LMyrrXDXtJ,Fast Car (feat. Tall Heights),5Q2ZtOZ0vOdtcjGDOq6ZQc,Ryan Montbleau,0aqbYdpaGt1QhCJDcruuMV,272966,2014-09-30,63,0.577,0.17,9,-12.979,1,0.0462,0.865,0.0,0.133,0.36,174.192,37i9dQZF1DWXmlLSKkfdAk,Acoustic Covers
4hh1aGOyYlqVEeHWTghR6v,Mr. Brightside,0INDB6Snts5NDbzh8jC3lk,Run River North,79BHHa7ok6SfZGELIOeBXp,272000,2016-01-15,0,0.393,0.178,2,-12.016,1,0.0318,0.859,0.00453,0.117,0.178,123.141,37i9dQZF1DWXmlLSKkfdAk,Acoustic Covers
1HrVc40jQbDRWIB9KreDti,Dreams - Piano Version,3j4FHbC5zwmYGJ7r0ZgaMt,Lissie,1oBjEkE3FjyD74adBZsUTI,274992,2019-03-01,41,0.562,0.187,0,-9.156,1,0.0313,0.921,0.0,0.0813,0.199,117.594,37i9dQZF1DWXmlLSKkfdAk,Acoustic Covers
4kG6Rt94q7eJaikOFrqsTn,Save Tonight,02U4dXZhGSo07f66l8JZ91,Tom Speight,2SaLXyTTBlIZCLuAQ2c4ne,270698,2020-02-07,61,0.662,0.265,0,-13.387,1,0.0379,0.635,0.00845,0.0975,0.107,75.035,37i9dQZF1DWXmlLSKkfdAk,Acoustic Covers
4q0v24VXobXe0kTLb46Xa9,Shallow,6KxrjoB8dMcRC295reb2Us,The Hound + The Fox,6JlWkUQJQu2Py6G2zL1sLA,221712,2019-01-10,50,0.581,0.297,7,-7.681,1,0.0354,0.251,0.0,0.123,0.329,95.691,37i9dQZF1DWXmlLSKkfdAk,Acoustic Covers
