track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name
59WN2psjkt1tyaxjspN8fp,Killing In The Name,2d0hyoQ5ynDBnkvAbJKORj,Rage Against The Machine,4Io5vWtmV1rFj4yirKb4y4,313573,1992,80,0.466,0.833,7,-4.215,1,0.304,0.0266,0.0,0.0327,0.661,88.785,20LKsiDZd4ALrlihncFcFa,90s Alternative Rock
2DlHlPMa4M17kufBvI2lEN,Chop Suey!,5eAWCfyUhZtHHtBdNk56l1,System Of A Down,6jWde94ln40epKIQCd8XUh,210240,2001-09-04,82,0.417,0.934,7,-3.908,0,0.119,0.000278,0.0015,0.132,0.287,127.066,20LKsiDZd4ALrlihncFcFa,90s Alternative Rock
6QewNVIDKdSl8Y3ycuHIei,Even Flow,1w5Kfo2jwwIPruYS2UWh56,Pearl Jam,5B4PYA7wNN4WdEXdIJu58a,292580,1991-08-27,77,0.394,0.944,10,-6.506,0,0.0761,0.00178,4.54e-06,0.298,0.265,105.338,20LKsiDZd4ALrlihncFcFa,90s Alternative Rock
6gZVQvQZOFpzIy3HblJ20F,Man in the Box,64tNsm6TnZe2zpcMVMOoHL,Alice In Chains,5LbHbwejgZXRZAgzVAjkhj,285200,1990-08-01,75,0.355,0.791,8,-7.565,1,0.0453,0.00045,0.0,0.0969,0.758,106.392,20LKsiDZd4ALrlihncFcFa,90s Alternative Rock
3YuaBvuZqcwN3CEAyyoaei,Like a Stone,2ziB7fzrXBoh1HUPS6sVFn,Audioslave,78guAsers0klWl6RwzgDLd,293960,2002-11-17,78,0.614,0.568,7,-5.477,0,0.0276,0.00797,0.0,0.0997,0.516,107.849,20LKsiDZd4ALrlihncFcFa,90s Alternative Rock
4X3qGigyU6ARi3HP4lWD95,Superman,7sVQKNtdP2NylxMgbNOJMM,Goldfinger,3htGAnJ90pQHse0tRzxC56,185026,1998-06-01,66,0.429,0.937,2,-3.986,1,0.0573,0.000131,0.0002,0.0807,0.894,194.838,20LKsiDZd4ALrlihncFcFa,90s Alternative Rock
5OQsiBsky2k2kDKy2bX2eT,Learn to Fly,7jy3rLJdDQY21OgRLCZ9sD,Foo Fighters,28q2N44ocJECgf8sbHEDfY,235293,1999-11-02,76,0.465,0.919,4,-4.025,1,0.0408,1.83e-05,2.07e-05,0.262,0.537,135.997,20LKsiDZd4ALrlihncFcFa,90s Alternative Rock
7nnWIPM5hwE3DaUBkvOIpy,Drive,3YcBF2ttyueytpXtEzn1Za,Incubus,2i6nd4FV6y7K9fln6eelmR,232453,1999-10-26,76,0.645,0.792,4,-7.34,0,0.036,0.0562,0.0121,0.119,0.666,90.565,20LKsiDZd4ALrlihncFcFa,90s Alternative Rock
4GiVcDqNQI0fc0yYuRGH9m,Inside Out,4Eqd24yS5YcxI8b6Xfuwr8,Eve 6,1qJOmC60ez9RNWPg4ELMBW,219466,1998,69,0.483,0.818,11,-7.666,1,0.0444,0.114,0.0,0.367,0.691,175.668,20LKsiDZd4ALrlihncFcFa,90s Alternative Rock
0HDaKOlVAfUWXdFR2RhBtN,Down,41Q0HrwWBtuUkJc7C1Rp6K,311,6VIeIM5tetuv7FrYxISffU,172160,1995-07-11,60,0.441,0.922,6,-6.644,0,0.0655,0.000179,1.97e-06,0.381,0.565,175.411,20LKsiDZd4ALrlihncFcFa,90s Alternative Rock
33iv3wnGMrrDugd7GBso1z,My Own Worst Enemy,5mgr0FFpvy267wKVAYg8qp,Lit,3w5Uz3q4SJze14P60ZChsp,169026,1999-02-22,73,0.494,0.946,4,-2.757,1,0.0637,0.00129,0.0,0.398,0.741,103.408,20LKsiDZd4ALrlihncFcFa,90s Alternative Rock
679zqcQuKakOGI93NPCqB8,Present Tense,1w5Kfo2jwwIPruYS2UWh56,Pearl Jam,3FKhxgSZdtJBIjdHsjbxI0,345786,1996-08-06,57,0.403,0.272,2,-13.492,1,0.0325,0.403,0.17,0.0806,0.105,130.872,20LKsiDZd4ALrlihncFcFa,90s Alternative Rock
