track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name
3uUuGVFu1V7jTQL60S1r8z,Where Are You Now,7f5Zgnp2spUuuzKplmRkt7,Lost Frequencies,5YrOK7zze6egKg9a8WRcnD,148197,2021-07-30,93,0.671,0.636,6,-8.117,0,0.103,0.515,0.000411,0.172,0.262,120.966,09tdi9JkYgC7DP0XYBl4Az,Electrónica 2022 & Dance Hits 2022 : La Mejor Música Electronica & EDM
4cG7HUWYHBV6R6tHn1gxrl,Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,7i9j813KFoSBMldGqlh2Z1,Riton,39qsmsNRXjVaFqTZj9af0j,169153,2021-01-15,89,0.824,0.862,2,-3.424,1,0.126,0.0076,0.000132,0.303,0.801,122.98,09tdi9JkYgC7DP0XYBl4Az,Electrónica 2022 & Dance Hits 2022 : La Mejor Música Electronica & EDM
5uEYRdEIh9Bo4fpjDd4Na9,Goosebumps - Remix,0Y5tJX1MQlPlqiwlOH1tJY,Travis Scott,3SdFuYwyWoq7kuaHdTDcyD,162802,2021-01-15,86,0.841,0.593,1,-7.846,1,0.0379,0.418,0.0,0.124,0.808,124.917,09tdi9JkYgC7DP0XYBl4Az,Electrónica 2022 & Dance Hits 2022 : La Mejor Música Electronica & EDM
4uDhts78RdwIDjEqPrYVKp,Sweet Dreams,7vk5e3vY1uw9plTHJAMwjN,Alan Walker,5WV1czZI9hnO6REVS6yKHR,138819,2021-06-11,80,0.766,0.817,7,-4.253,1,0.035,0.0239,2.49e-06,0.159,0.43,125.033,09tdi9JkYgC7DP0XYBl4Az,Electrónica 2022 & Dance Hits 2022 : La Mejor Música Electronica & EDM
20on25jryn53hWghthWWW3,Do It To It,4pnp4w9g30yLfVIAFnZMRd,ACRAZE,58cd90Jkrovggh556JPN9L,157890,2021-08-20,96,0.854,0.806,11,-8.262,0,0.0886,0.0209,0.0542,0.0703,0.637,124.927,09tdi9JkYgC7DP0XYBl4Az,Electrónica 2022 & Dance Hits 2022 : La Mejor Música Electronica & EDM
0b18g3G5spr4ZCkz7Y6Q0Q,Rasputin,6QMABvTzixnxzsLYyhqRxI,Majestic,6PzYuR9c0CYCPJTnqylPhd,186209,2021-02-26,86,0.758,0.913,6,-2.926,0,0.113,0.00364,6.92e-05,0.193,0.658,128.04,09tdi9JkYgC7DP0XYBl4Az,Electrónica 2022 & Dance Hits 2022 : La Mejor Música Electronica & EDM
2cc8Sw1OnCuA5bV8nqWqpE,You,4ofCBoyEiGSePFAG500xev,Regard,6cWawCk4DohREQA42eEOe1,233386,2021-04-16,82,0.691,0.695,0,-5.6,1,0.0367,0.0592,0.0,0.0647,0.514,106.064,09tdi9JkYgC7DP0XYBl4Az,Electrónica 2022 & Dance Hits 2022 : La Mejor Música Electronica & EDM
0vR2rIVORmgeKiGIgNT0fV,By Your Side (feat. Tom Grennan),7CajNmpbOovFoOoasH2HaY,Calvin Harris,6Z6QdCXb3IBonAUSwLP4iB,189671,2021-06-04,79,0.733,0.96,7,-3.597,1,0.0295,0.0514,0.00199,0.287,0.811,124.01,09tdi9JkYgC7DP0XYBl4Az,Electrónica 2022 & Dance Hits 2022 : La Mejor Música Electronica & EDM
73QyyUMMvtNELmULI4FOsp,You for Me,1IueXOQyABrMOprrzwQJWN,Sigala,2iylTVQEMYGQ9CUgn9MAAT,175435,2021-07-02,78,0.733,0.886,2,-1.856,0,0.0426,0.0481,1.81e-06,0.191,0.696,126.031,09tdi9JkYgC7DP0XYBl4Az,Electrónica 2022 & Dance Hits 2022 : La Mejor Música Electronica & EDM
7BKLCZ1jbUBVqRi2FVlTVw,Closer,69GGBxA162lTqCwzJG5jLp,The Chainsmokers,0rSLgV8p5FzfnqlEk4GzxE,244960,2016-07-29,86,0.748,0.524,8,-5.599,1,0.0338,0.414,0.0,0.111,0.661,95.01,09tdi9JkYgC7DP0XYBl4Az,Electrónica 2022 & Dance Hits 2022 : La Mejor Música Electronica & EDM
