track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name
3nuvIzElt8u5OjR7XwrC7A,United Nations Stomp (feat. Marcus King),6LvO4vaTTJhCAdpITMpDvC,Dumpstaphunk,4BNmTehRD2aGl3IoglqPcA,347000,2021-03-12,40,0.392,0.897,11,-3.835,1,0.0992,0.00161,0.000221,0.0416,0.561,184.053,37i9dQZF1DX9stbPFTxeaB,Funky Heavy Bluesy
5abyTR9t1SuyS8YAQZd6xA,Burning Out,5Npr4HpRE8YlsisRjN9T8h,Philip Sayce,3dQKiRCBLOnvRmfcTCJP0H,208974,2020-04-24,42,0.255,0.947,0,-4.14,1,0.071,0.000103,0.0,0.397,0.235,159.905,37i9dQZF1DX9stbPFTxeaB,Funky Heavy Bluesy
1bk3JiDGZIRlU6iWperLGf,Woman Gonna take The Fear Away,5czSB0z5jZnHr9zV37RU1h,Mike Ross,4Kt5fmBWMROZNAEUTTS87P,206000,2021-12-01,35,0.566,0.846,1,-6.474,0,0.0831,0.0148,0.217,0.0853,0.784,127.548,37i9dQZF1DX9stbPFTxeaB,Funky Heavy Bluesy
3O4lx0iWB6jVKAFcJ07C8n,Chills and Thrills (feat. Mike Campbell),5s4z3mRAE7nxE3jjft8J3h,John Mayall,60e22k3sYb5f9lz3fuzlZ3,320404,2021-10-22,42,0.728,0.689,2,-7.177,1,0.0348,0.18,0.745,0.0465,0.909,120.023,37i9dQZF1DX9stbPFTxeaB,Funky Heavy Bluesy
0OVWOIMbfPWn2aVEzTclkN,Cradle Rock,2SNzxY1OsSCHBLVi77mpPQ,Joe Bonamassa,6Y2mu4qftaYr1ETmK50BJA,230026,2020-06-26,39,0.411,0.91,2,-4.867,1,0.0392,0.000243,0.00082,0.0931,0.613,106.675,37i9dQZF1DX9stbPFTxeaB,Funky Heavy Bluesy
0yLT3sSQU6TkLdlbq0mHm4,I Was A Fool,0hLLs7dOw0Z1XBFFrLSDln,The Cold Stares,3NvKMJA950Tz5xx1CwOoRH,203666,2019-10-04,40,0.571,0.919,7,-6.568,1,0.0719,0.00171,0.0,0.227,0.321,121.01,37i9dQZF1DX9stbPFTxeaB,Funky Heavy Bluesy
6BklMtRiRy8BjeK9Lf1krs,Made Man,0vZOdMJGMaCZ8SJCzciy0B,Five Points Gang,7ydPuN7qQGp1G9eYoFMGpK,209946,2021-11-05,35,0.552,0.928,8,-4.368,0,0.0878,0.00147,0.0,0.306,0.61,96.952,37i9dQZF1DX9stbPFTxeaB,Funky Heavy Bluesy
7FpFxqvwMMR4j1Yi1vndpK,Fading Away,0NxpILfCjl6UcOxMMMp8fo,Artur Menezes,4rbAfXhaS3CKaDGSfaK9Jb,224426,2020-10-30,39,0.643,0.913,8,-4.538,1,0.0351,0.00651,0.0017,0.0427,0.449,112.988,37i9dQZF1DX9stbPFTxeaB,Funky Heavy Bluesy
5lCrGrjeBufzZNUWyZuMH2,Leave Your Ego,0oLmGtqMpKAAVNJyJ71AcI,Bernard Allison,6iMMxMoKbZbW2jcE8J3udJ,314770,2018-02-02,35,0.511,0.699,7,-5.09,0,0.0365,0.0333,0.0036,0.227,0.472,153.216,37i9dQZF1DX9stbPFTxeaB,Funky Heavy Bluesy
6Q5BhD6Ll1AloC0jJ9phV3,Going Up,5IXO0yGQMScYQMsWg6L8YG,Paulo Mendonca,6X4KUUDYiwZRqP0EVN3qa5,187531,2019-09-13,0,0.613,0.793,0,-6.82,0,0.0666,0.0319,0.0,0.341,0.806,180.026,37i9dQZF1DX9stbPFTxeaB,Funky Heavy Bluesy
6F6L0sir3tzLDiO2vXopoG,In Time,6LvO4vaTTJhCAdpITMpDvC,Dumpstaphunk,6aVAwiFG24G3VJNedr5ues,422813,2021-04-23,36,0.698,0.763,11,-5.09,0,0.131,0.00224,0.000443,0.0856,0.672,91.986,37i9dQZF1DX9stbPFTxeaB,Funky Heavy Bluesy
06v3DtMzR1u8XwNkEy8OEp,Any Way The Wind Blows,0hLLs7dOw0Z1XBFFrLSDln,The Cold Stares,1uPRDVR48w703zWvbd0Jt5,181218,2019-08-30,38,0.607,0.802,7,-7.345,1,0.0488,0.000645,0.000206,0.242,0.636,85.98,37i9dQZF1DX9stbPFTxeaB,Funky Heavy Bluesy
1vcUlV02bvKQn6ryzZqDVL,True Lies,1riHqX633Kup3mJAw8WR8p,Kenny Wayne Shepherd,1ODpJWe2bymqj4DyJfuBE9,348040,1997-09-26,50,0.367,0.769,9,-7.258,1,0.0317,0.00032,0.628,0.0631,0.7,173.186,37i9dQZF1DX9stbPFTxeaB,Funky Heavy Bluesy
0dXY4cKAKXZ74B41vclGlu,Living In A Burning House,47HxYwXgJsfyQN08FpXfxD,Selwyn Birchwood,0iZ7zjxkdJVCaImg2EJZzB,248251,2020-08-21,35,0.562,0.912,5,-3.838,0,0.061,0.0258,0.000368,0.317,0.717,94.989,37i9dQZF1DX9stbPFTxeaB,Funky Heavy Bluesy
2bmBc4ovS9p18e1IUYHSE9,Plastic Hamburgers,5QXLMdpKeByOo5ypH9gT13,Fantastic Negrito,5oYfjMuqOR07P45xNSjlab,217451,2018-03-23,0,0.634,0.779,9,-6.607,1,0.0361,0.0255,0.00103,0.342,0.562,82.003,37i9dQZF1DX9stbPFTxeaB,Funky Heavy Bluesy
3AKBquVo2xRipnaP9rbMCs,Fukk Up,7z66axlw21NlGzJ18VPmzj,Andreas Kümmert,1tiDmCVwb0zg46BADCJ4fQ,190392,2020-03-06,34,0.562,0.973,4,-4.995,0,0.0515,8.69e-05,0.00303,0.497,0.768,140.009,37i9dQZF1DX9stbPFTxeaB,Funky Heavy Bluesy
0PnyMytBrk2X9T5pYmati9,Diamonds & Gold,1riHqX633Kup3mJAw8WR8p,Kenny Wayne Shepherd,2TuAEPead6OEKi2AVXvBCl,317773,2017-07-21,0,0.574,0.846,8,-5.703,1,0.0339,0.0371,4.08e-05,0.0464,0.794,92.04,37i9dQZF1DX9stbPFTxeaB,Funky Heavy Bluesy
2dqkDzJPwSIduZlKJh0lvB,Funky Guitar Blues,09ZFZmc7XNCwnDYB3R48qr,Bryce Janey,1ULW18kqQ47Qp3YUATkvFQ,261626,2010-01-01,42,0.563,0.871,5,-5.825,1,0.029,0.000197,0.0128,0.0928,0.517,114.894,37i9dQZF1DX9stbPFTxeaB,Funky Heavy Bluesy
3IxskaJgntwUcXt9SK3LhL,Venom,6nYo7m5cO64bANRvilwVBb,Richie Kotzen,6GgERv1qetGC5yzId0hTRD,236719,2019-06-03,40,0.471,0.886,8,-3.627,1,0.0496,0.00261,0.0942,0.124,0.473,100.025,37i9dQZF1DX9stbPFTxeaB,Funky Heavy Bluesy
4zBTpUoxrjVMjEYZECuxRi,The Great Unknown,0hLLs7dOw0Z1XBFFrLSDln,The Cold Stares,4gcXwCByBlccQEpSRMPPUH,181440,2018-10-31,40,0.443,0.888,1,-3.333,1,0.0714,0.00071,4.91e-06,0.303,0.637,162.067,37i9dQZF1DX9stbPFTxeaB,Funky Heavy Bluesy
7m3zESC5sYrdRTlq1EO5Ep,Further on Down the Line,3MQuQtVNJG9SchM1l2CTm3,Ben Poole,1X3V7gdTJnzvyh4iAGe0zy,236200,2018-09-14,37,0.589,0.762,9,-7.031,1,0.0391,0.00945,0.0683,0.0517,0.688,174.038,37i9dQZF1DX9stbPFTxeaB,Funky Heavy Bluesy
2PLg25HdGsV0gcSMVfSFTX,Mindcontrol,5IXO0yGQMScYQMsWg6L8YG,Paulo Mendonca,55YrVbIQaV9W9tP8gnIYpT,208212,2018-10-10,0,0.643,0.618,0,-7.139,1,0.0287,0.000203,0.000132,0.0902,0.802,99.057,37i9dQZF1DX9stbPFTxeaB,Funky Heavy Bluesy
5uBREHXh3z3N4EZcRNwOVh,Ignite (Light It Up),241MOvr69jR2U48FW5WbKv,Kris Barras Band,0LZXK2q1dmYEp3slHu4XQT,196103,2019-06-26,21,0.604,0.818,6,-6.083,1,0.0379,0.00335,0.00103,0.0411,0.697,102.993,37i9dQZF1DX9stbPFTxeaB,Funky Heavy Bluesy
20TX7Hlne2EOyuVjOmrCfv,Spirit,5Npr4HpRE8YlsisRjN9T8h,Philip Sayce,4eU2lsdMXZmMBvTJWCGzDH,218088,2020-01-10,0,0.479,0.905,4,-6.606,0,0.0565,0.00076,0.00219,0.326,0.274,90.007,37i9dQZF1DX9stbPFTxeaB,Funky Heavy Bluesy
1tTOz7GLFSObMxWJiCv8xx,I Will Not Fall,4SXsNXgRundFdewI58vbZT,King King,5WwQrLbHFyYbNUOCZZOKJc,209760,2020-02-28,37,0.619,0.779,9,-5.582,0,0.031,0.000758,3.92e-05,0.165,0.516,109.052,37i9dQZF1DX9stbPFTxeaB,Funky Heavy Bluesy
0tAXV5rJfrMcqTOPNzv9og,Riot,6nYo7m5cO64bANRvilwVBb,Richie Kotzen,2PSA0hNLqgBVBOa0lciwPt,302422,2018-06-07,40,0.599,0.906,11,-5.133,0,0.0641,0.0158,2.47e-05,0.108,0.712,120.024,37i9dQZF1DX9stbPFTxeaB,Funky Heavy Bluesy
7acEqMLOUhLp3N5jav2YzM,U got 2 believe,5IXO0yGQMScYQMsWg6L8YG,Paulo Mendonca,46Ccp0e59OQ79ivNnP6XVY,208331,2017-01-13,0,0.616,0.908,10,-6.867,0,0.0551,0.00194,0.00235,0.0345,0.808,92.984,37i9dQZF1DX9stbPFTxeaB,Funky Heavy Bluesy
1Y2zuzC8ScFpyvRaiK6QRR,Hump Thru the Winter,5QXLMdpKeByOo5ypH9gT13,Fantastic Negrito,0CNXnv7UOxzVEVvAmgwMGG,234187,2017-06-30,0,0.734,0.697,0,-5.573,0,0.164,0.187,0.0,0.149,0.537,76.018,37i9dQZF1DX9stbPFTxeaB,Funky Heavy Bluesy
68vlQoNTUDvujcUVwdMkT1,Morning Star,2aV2zINHEpRvHLmXl8AaRO,Philip Sayce Group,1RadxbsRJvE1XI0e3AH8t6,309533,1997,0,0.393,0.912,8,-5.008,1,0.0706,0.00697,0.00274,0.0547,0.63,78.157,37i9dQZF1DX9stbPFTxeaB,Funky Heavy Bluesy
