track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name
4lauttF1t783X0RKNuzEWo,Blue Macaw,3VlbOrMVyRIrtVE71jLu6N,Slowya.roll,3KLP0wQK8crexU3vRAeXLU,274000,2021-10-29,41,0.652,0.763,1,-9.489,1,0.0499,0.476,0.842,0.0919,0.427,124.984,37i9dQZF1DX0aSJooo0zWR,Fusion Fest
3v8uNBWOvtNTyzzEMvQ2K1,U.T.F.F.,2LkMP01m9PIf5r87iC0HI2,Owane,66Rn3zHmg4iwYamxDZLn0L,207625,2021-08-13,40,0.411,0.696,9,-11.582,0,0.0413,0.227,0.734,0.0582,0.495,149.882,37i9dQZF1DX0aSJooo0zWR,Fusion Fest
36rhJ2LhrKRdwjBzfZ5lLy,Ring of Saturn,6xt9sJmmyYwWkJv8A6ssiU,Cory Wong,2VTLDohCGomGkyOOvKi96p,240550,2021-08-27,40,0.707,0.495,11,-14.089,0,0.0452,0.498,0.885,0.0603,0.344,109.037,37i9dQZF1DX0aSJooo0zWR,Fusion Fest
4nUWF1v6lpyHertAUIrbSx,Prophecy Extended,3RPnyf7t9phTwwSzQgaZYb,David Garfield,00nhiAeIJ3f86qvGYPKkoV,378489,2021-07-23,33,0.718,0.573,4,-9.766,0,0.0449,0.0137,0.858,0.0827,0.662,107.992,37i9dQZF1DX0aSJooo0zWR,Fusion Fest
4qpKhfmO5O46ljDGSWR2vc,As the Spirit Sings,4v0R1feRiuCDch7aAheVhY,John McLaughlin,0cf89uYaI7ceahwv3Zm4d6,321693,2021-07-16,12,0.293,0.728,2,-11.342,1,0.0622,0.259,0.279,0.345,0.463,106.574,37i9dQZF1DX0aSJooo0zWR,Fusion Fest
5RrJCusmR1J54b5ivqdWIu,Spain,5olDKSsFhhmwh8UCWwKtpq,Chick Corea,2b53ZhXIiCGr3rPTYkpVeF,590866,1973-01-01,46,0.404,0.446,11,-16.982,0,0.0352,0.857,0.885,0.0845,0.474,136.242,37i9dQZF1DX0aSJooo0zWR,Fusion Fest
58Hjh0cpp5V5cFTcQ15Wcr,The New Heritage,2tgOGRSlg4TCPaXr3kDRK6,Telemakus,2wybYLaccS7y16e0bqr1zK,145643,2021-10-13,36,0.486,0.6,5,-10.395,0,0.297,0.121,0.108,0.131,0.886,187.981,37i9dQZF1DX0aSJooo0zWR,Fusion Fest
5zgN7UMueNQAlgZX6bms4w,Mayday,5Kd7e5lauV4CDdTHm5uiJH,corto.alto,7nwybWJehSYiHpwJUtV30N,288909,2021-11-09,34,0.711,0.583,10,-10.443,0,0.051,0.196,0.819,0.16,0.746,100.003,37i9dQZF1DX0aSJooo0zWR,Fusion Fest
5F8tuVZJ3271tRNO7IR0uT,One More !!?!??,07icU8dCi2MTeBGuvN8NyL,Mathieu Fiset,394rQAMc6iNZIzLyelepRf,248174,2021-05-07,33,0.567,0.79,10,-6.915,0,0.107,0.399,0.789,0.0961,0.834,157.957,37i9dQZF1DX0aSJooo0zWR,Fusion Fest
3hPVtMhgSYWioG9Q8ikl4N,TB,0xNiJqc5OTckg9UswHJzDq,Matt Twaddle,467iOIkzg7tTQs3I6xqSrF,292899,2021-04-30,30,0.452,0.693,11,-8.929,0,0.0482,0.259,0.884,0.0848,0.389,119.552,37i9dQZF1DX0aSJooo0zWR,Fusion Fest
7hUfeFl3SpwWli75e0VA1j,Far And Distant Things (feat. Frank Gambale),6DrVJByeJgHqJ7A3SsBnFE,Benjamin Croft,39Opdt7XBmjgKFfbdlH8De,373769,2021-05-14,28,0.472,0.561,5,-12.81,0,0.0319,0.0231,0.89,0.12,0.538,143.925,37i9dQZF1DX0aSJooo0zWR,Fusion Fest
45GLV5lorbBlvcen01tNwp,The Nightbus,6dGEmHECfu8WzZqZAqXVGc,PYJÆN,3niNqIPnj4qyJMrVO9UjwI,295682,2021-06-17,28,0.564,0.45,8,-12.212,1,0.0287,0.0656,0.533,0.0593,0.196,146.973,37i9dQZF1DX0aSJooo0zWR,Fusion Fest
0UssgBS8FkPUX4ckwR29Kd,Tail of a Comet feat. Gilad Hekselman,434fZtZ2MxEFE2SKS7ULbM,Hironori Momoi,1Q94OEjJfKKjTp2J3aiht9,250903,2021-07-09,26,0.285,0.392,6,-11.019,1,0.0377,0.0651,0.519,0.159,0.297,82.752,37i9dQZF1DX0aSJooo0zWR,Fusion Fest
7x5Dul8CyNveFqG8j9p9LZ,Heather Grey (BK Gritty),3aKINS5KI279EKkNpHcMng,NIKARA presents Black Wall Street,1ajCBcWKmPE52w4d0h0AhL,366236,2021-11-12,37,0.316,0.699,1,-11.071,1,0.0383,0.422,0.929,0.0967,0.527,98.045,37i9dQZF1DX0aSJooo0zWR,Fusion Fest
7t28GnSaybF7QlNt8j0XLp,Truth,5cpKvYFZXiVsN7FRLoNlm1,Jeff Lorber Fusion,2pGpLfTURhKVeaH6xGGW5W,275480,2021-06-18,32,0.523,0.71,4,-8.853,0,0.123,0.341,0.219,0.105,0.657,201.509,37i9dQZF1DX0aSJooo0zWR,Fusion Fest
5euz3r8UPd1b8YYstR3nDH,Hunting Heads,3RPnyf7t9phTwwSzQgaZYb,David Garfield,3gkJk5kJkI9YPzAWtJP16E,422882,2021-04-09,29,0.701,0.691,11,-10.899,0,0.044,0.131,0.872,0.0768,0.827,111.063,37i9dQZF1DX0aSJooo0zWR,Fusion Fest
2tDHGbEuMaHt5VhVVhIas4,Brock (feat. Gareth Lockrane),6DrVJByeJgHqJ7A3SsBnFE,Benjamin Croft,0cOe3mdbmfoxdLculHgEZB,287206,2021-07-09,25,0.509,0.673,11,-13.328,1,0.0373,0.0667,0.847,0.0556,0.69,140.012,37i9dQZF1DX0aSJooo0zWR,Fusion Fest
5nCg3pngZg0yKhsr2u6fPA,P64 By My Side,7FQiZr787umw7P5dO3zqld,John Carroll Kirby,2y6wLCRuqOHjcLLt7THlTQ,251643,2021-06-25,35,0.544,0.573,1,-7.334,1,0.0421,0.658,0.409,0.0794,0.706,78.063,37i9dQZF1DX0aSJooo0zWR,Fusion Fest
1aWo4XIXPCD8VKHs4u7r0Y,One Day,1zHPRenzLeI2vhT7nlR6Mq,Yellowjackets,1jKWrSJPdFQDTJ4H93RDC4,392960,2020-10-02,0,0.62,0.44,4,-12.702,0,0.0479,0.508,0.269,0.105,0.364,127.908,37i9dQZF1DX0aSJooo0zWR,Fusion Fest
3SGoqlMWoiUjxU38CrxMs4,Teki,2i1CPudyCUjL50Wqjv8AMI,Alfa Mist,1pIwUzeY7bzkKQJrqA4gHQ,360053,2021-04-16,7,0.508,0.678,0,-8.618,0,0.0435,0.487,0.906,0.151,0.53,91.731,37i9dQZF1DX0aSJooo0zWR,Fusion Fest
