track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name
2PfBSkCKZDXMsJogMT0wML,Jump,2cnMpRsOVqtPMfq7YiFE6K,Van Halen,6x2n6wj3WvkRi8J8gxEcF0,239560,1984-01-03,0,0.547,0.822,0,-7.201,1,0.0292,0.0745,0.00943,0.0645,0.774,130.138,37i9dQZF1DX68H8ZujdnN7,’80s Hard Rock
5Q41NLTmGbVPozwHKK7bk2,Paradise City,3qm84nBOXUEQ2vnTfUTTFC,Guns N' Roses,5JKFiC2WVi9HtvJEm8CUB8,406306,1987-07-21,0,0.274,0.949,11,-8.642,1,0.0896,0.0214,0.00778,0.218,0.497,100.346,37i9dQZF1DX68H8ZujdnN7,’80s Hard Rock
0XIvZ82aDF7JiSi3ZE320u,Rock You Like A Hurricane,27T030eWyCQRmDyuvr1kxY,Scorpions,6d4dgGamepehj0WwsYXTKi,252493,1984-05-04,0,0.482,0.601,7,-12.846,1,0.0486,0.00853,0.000187,0.249,0.774,125.619,37i9dQZF1DX68H8ZujdnN7,’80s Hard Rock
05RgAMGypEvqhNs5hPCbMS,Panama - 2015 Remaster,2cnMpRsOVqtPMfq7YiFE6K,Van Halen,3REUXdj5OPKhuDTrTtCBU0,210226,1984-01-04,74,0.526,0.978,8,-5.436,1,0.108,0.00122,4.75e-05,0.0744,0.451,141.167,37i9dQZF1DX68H8ZujdnN7,’80s Hard Rock
0PdM2a6oIjqepoEfcJo0RO,Pour Some Sugar On Me - Remastered 2017,6H1RjVyNruCmrBEWRbD0VZ,Def Leppard,31oeDyCOLhgeZyktfxo0pE,267306,1987-08-03,76,0.267,0.953,1,-4.899,0,0.096,0.00211,0.0,0.283,0.568,84.989,37i9dQZF1DX68H8ZujdnN7,’80s Hard Rock
5X0bLSho0KTiSQYCI0IOcl,Dr. Feelgood,0cc6vw3VN8YlIcvr1v7tBL,Mötley Crüe,2roIODnunU2CI0QWY3T8H9,290186,1989,0,0.53,0.952,2,-5.105,1,0.0577,0.000837,0.0119,0.262,0.433,110.98,37i9dQZF1DX68H8ZujdnN7,’80s Hard Rock
3U7H63zKWLjOuFZJUmTowp,You Give Love A Bad Name,58lV9VcRSjABbAbfWS6skp,Bon Jovi,3gORsZp3xSbkN1ymRNonp1,223733,1986-01-01,0,0.559,0.825,0,-10.725,0,0.0401,0.0771,0.0,0.363,0.805,122.821,37i9dQZF1DX68H8ZujdnN7,’80s Hard Rock
5PLPlz2rQlwMTFQqnQAPgu,Still of the Night - 2017 Remastered Version,3UbyYnvNIT5DFXU4WgiGpP,Whitesnake,0CCJc4HNZTsrGFQfI7lnx9,399693,1987,0,0.403,0.88,0,-5.872,1,0.0532,0.00582,0.000508,0.319,0.235,100.457,37i9dQZF1DX68H8ZujdnN7,’80s Hard Rock
2b9lp5A6CqSzwOrBfAFhof,Crazy Train,6ZLTlhejhndI4Rh53vYhrY,Ozzy Osbourne,6aGfK3YpRxZ1rJfaNRckLH,296200,1980-09-20,6,0.453,0.905,9,-4.001,1,0.115,0.36,0.000569,0.26,0.474,137.571,37i9dQZF1DX68H8ZujdnN7,’80s Hard Rock
2ZS0wDcdfrJPC86u5aJGo9,Seventeen,2qQeKHrQJHLLbvDAOSO874,Winger,4aMtQDeDMAHBfh7cE87PWo,245266,1988,59,0.577,0.676,8,-11.931,1,0.0295,0.000895,2.29e-06,0.0625,0.676,95.98,37i9dQZF1DX68H8ZujdnN7,’80s Hard Rock
6LFoyjCI9eFZw3QmN46x2V,Nobody's Fool,7HL4id2U7FSDJtfKQHMgQx,Cinderella,0r5AdSHXZuSb0KkdSOr3g1,287400,1986,0,0.367,0.445,9,-13.615,0,0.0286,0.0478,0.00284,0.199,0.149,67.197,37i9dQZF1DX68H8ZujdnN7,’80s Hard Rock
2PpNgmrS9mAyrkRAwn6YPq,Rainbow in the Dark,4CYeVo5iZbtYGBN4Isc3n6,Dio,2ivNJLSx8Rbvnsvcn01Yt3,256933,1983,61,0.512,0.947,9,-5.659,0,0.0401,0.000692,0.114,0.0283,0.612,117.461,37i9dQZF1DX68H8ZujdnN7,’80s Hard Rock
3D5ORNm9spaTcdRx50ksHx,Lay It Down,3tufWJzpCiAGleBt5TkmTn,Ratt,7CzsLoFBEMElxviJoApcAI,205560,1985,61,0.442,0.759,10,-13.475,1,0.0354,0.000402,0.0081,0.174,0.279,198.117,37i9dQZF1DX68H8ZujdnN7,’80s Hard Rock
72hcFp4tYkd3dbNA9dZ3Pv,Bad Medicine,58lV9VcRSjABbAbfWS6skp,Bon Jovi,3mcKOl0KNe65BqiBa40WxR,316706,1988-09-13,70,0.555,0.973,9,-3.804,1,0.035,0.048,0.0,0.0853,0.805,118.642,37i9dQZF1DX68H8ZujdnN7,’80s Hard Rock
28clONjZmul6FjfO6tZQDE,Metal Health (Bang Your Head),1dLWg6m8RRhizsdqJbhyj3,Quiet Riot,3Q3rQ8FK1e9Fd9Gv9xm3CK,316866,1983,64,0.494,0.933,2,-5.977,1,0.0808,0.0434,0.00108,0.228,0.507,121.201,37i9dQZF1DX68H8ZujdnN7,’80s Hard Rock
3MrRksHupTVEQ7YbA0FsZK,The Final Countdown,7Js6Lde8thlIHXggv2SCBz,Europe,5Jkd47JEaCU1g4DcGBnHm3,310333,1986,78,0.529,0.843,6,-6.908,0,0.0616,0.0628,0.000827,0.0608,0.188,117.662,37i9dQZF1DX68H8ZujdnN7,’80s Hard Rock
