track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name
62l3NSQPUxvcwwzKUmysrE,Bad Man (Smooth Criminal),6AgTAQt8XS6jRWi4sX7w49,Polo G,2rLqUcipEjIKK9rma5OTN8,106000,2021-12-03,77,0.882,0.662,0,-6.382,1,0.242,0.0124,0.0,0.106,0.57,120.034,5WNUX6jisX0NRlVDTm6RDd,HipHop 2022
4R67rQNSbbsR4TdUVOIdez,ESCAPE PLAN,0Y5tJX1MQlPlqiwlOH1tJY,Travis Scott,5FB5E1fwFeVqpz2CCzRSve,149610,2021-11-05,84,0.839,0.506,5,-6.714,0,0.133,0.00207,0.0,0.13,0.44,154.12,5WNUX6jisX0NRlVDTm6RDd,HipHop 2022
5Z9KJZvQzH6PFmb8SNkxuk,INDUSTRY BABY (feat. Jack Harlow),7jVv8c5Fj3E9VhNjxT4snq,Lil Nas X,6pOiDiuDQqrmo5DbG0ZubR,212352,2021-09-17,91,0.741,0.691,10,-7.395,0,0.0672,0.0221,0.0,0.0476,0.892,150.087,5WNUX6jisX0NRlVDTm6RDd,HipHop 2022
2QIBJFl8DJR1mDh9GwfZef,Don’t Play (with Lil Baby),6AgTAQt8XS6jRWi4sX7w49,Polo G,2rLqUcipEjIKK9rma5OTN8,156734,2021-12-03,80,0.684,0.624,2,-7.414,0,0.347,0.239,0.0,0.112,0.708,146.925,5WNUX6jisX0NRlVDTm6RDd,HipHop 2022
0JcgIOrlZ0CNUOPxyudnrK,Handstand (with Doja Cat feat. Saweetie),6vXTefBL93Dj5IqAWq6OTv,French Montana,0dMCnf42bF5BSLhDr2EMyl,170057,2021-11-19,73,0.786,0.551,8,-5.789,1,0.243,0.0138,0.0,0.68,0.354,174.995,5WNUX6jisX0NRlVDTm6RDd,HipHop 2022
3QFInJAm9eyaho5vBzxInN,family ties (with Kendrick Lamar),5SXuuuRpukkTvsLuUknva1,Baby Keem,3r46DPIQeBQbjvjjV5mXGg,252262,2021-09-10,80,0.711,0.611,1,-5.453,1,0.33,0.00588,0.0,0.23,0.144,134.093,5WNUX6jisX0NRlVDTm6RDd,HipHop 2022
4dZTNKRngStyYNueXCO2FR,Young N Dumb,6AgTAQt8XS6jRWi4sX7w49,Polo G,2rLqUcipEjIKK9rma5OTN8,172394,2021-12-03,77,0.465,0.729,3,-6.93,0,0.237,0.0072,0.0,0.139,0.606,95.001,5WNUX6jisX0NRlVDTm6RDd,HipHop 2022
5J6rTmMjF9DVIAF8G3M9n4,Wandered To LA (with Justin Bieber),4MCBfE4596Uoi2O4DtmEMz,Juice WRLD,16ou1Elgll2ElsdnU4LNzn,189727,2021-12-03,84,0.687,0.645,0,-4.761,1,0.04,0.0509,2.96e-06,0.106,0.424,135.083,5WNUX6jisX0NRlVDTm6RDd,HipHop 2022
4XvcHTUfIlWfyJTRG0aqlo,2055,6EPlBSH2RSiettczlz7ihV,Sleepy Hallow,38nZLvJx8A9p4YYpTG5iFP,123986,2021-06-02,86,0.829,0.512,6,-5.865,0,0.187,0.492,0.0,0.12,0.638,80.511,5WNUX6jisX0NRlVDTm6RDd,HipHop 2022
0VoCmyKz6GRRl6AuT7if6t,Blessings (feat. Chronixx),6M6XXCcO5gI68XpIlrUL3Z,Young T & Bugsey,59eVgCnvJgjlEX4vLiOSHm,224093,2022-01-06,58,0.526,0.811,4,-5.619,0,0.309,0.313,0.0,0.325,0.589,96.381,5WNUX6jisX0NRlVDTm6RDd,HipHop 2022
1uU0Q4JrDzgqWK1QWXccwb,SNOWMAN,0vRvGUQVUjytro0xpb26bs,Arizona Zervas,0jbrRg5mahBKrvbPQDLisP,183594,2021-12-17,67,0.705,0.566,11,-6.993,1,0.046,0.205,0.0,0.12,0.429,140.035,5WNUX6jisX0NRlVDTm6RDd,HipHop 2022
2BcMwX1MPV6ZHP4tUT9uq6,Knife Talk (with 21 Savage ft. Project Pat),3TVXtAsR1Inumwj472S9r4,Drake,3SpBlxme9WbeQdI9kx7KAV,242965,2021-09-03,90,0.849,0.424,5,-9.579,0,0.324,0.0635,0.0,0.0834,0.153,145.887,5WNUX6jisX0NRlVDTm6RDd,HipHop 2022
08F16baYbciTva9P4BvpiI,MAFIA,0Y5tJX1MQlPlqiwlOH1tJY,Travis Scott,5FB5E1fwFeVqpz2CCzRSve,240000,2021-11-05,82,0.855,0.492,0,-7.578,0,0.0483,0.0775,6.71e-06,0.111,0.385,109.975,5WNUX6jisX0NRlVDTm6RDd,HipHop 2022
3DZ8dbKg4OTSSqGARvecYd,Broadway Girls (feat. Morgan Wallen),3hcs9uc56yIGFCSy9leWe7,Lil Durk,021fiBoLY6KwQmgIvByEtG,185600,2021-12-17,85,0.659,0.745,10,-3.599,1,0.0347,0.0417,0.0,0.296,0.54,74.967,5WNUX6jisX0NRlVDTm6RDd,HipHop 2022
1wgVJ6FtSOZHX1E7S9brVQ,Stuck in The Jungle (with Pop Smoke & Lil Durk),6vXTefBL93Dj5IqAWq6OTv,French Montana,0dMCnf42bF5BSLhDr2EMyl,178087,2021-11-19,61,0.69,0.607,0,-6.869,1,0.289,0.47,0.0,0.185,0.6,141.022,5WNUX6jisX0NRlVDTm6RDd,HipHop 2022
1z7LV5wkExwW8YJk0IrPUA,Jumpin (feat. Polo G),0ErzCpIMyLcjPiwT4elrtZ,NLE Choppa,24t0q0pqu7y9udfr89qf42,181198,2021-11-05,81,0.826,0.616,2,-5.479,1,0.328,0.241,0.0,0.287,0.612,127.925,5WNUX6jisX0NRlVDTm6RDd,HipHop 2022
4yNoUQkYf1QF8iYlEzNynH,"Who Want Smoke?? (feat. G Herbo, Lil Durk & 21 Savage)",0Njy6yR9LykNKYg9yE23QN,Nardo Wick,5aSofcF0U90UxJaDr62r6X,279853,2021-10-08,83,0.739,0.74,5,-5.86,0,0.333,0.0045,0.0,0.161,0.488,75.575,5WNUX6jisX0NRlVDTm6RDd,HipHop 2022
7eUarVRO7tNoJy6WZDhkoR,Chitty Bang,0DtXHIvJ8NWBg5pGvsgWnR,Leikeli47,1J0kyst5Prm6tm0WJ7XLgW,146213,2022-01-04,53,0.645,0.59,5,-5.626,0,0.153,0.32,0.000124,0.518,0.748,157.702,5WNUX6jisX0NRlVDTm6RDd,HipHop 2022
6APhSotnV8vcCFG87XiYfo,Richer Than I Ever Been,1sBkRIssrMs1AbVkOJbc7a,Rick Ross,5cZ23u1lWxszHiUokH6LnJ,172570,2021-12-10,64,0.669,0.844,5,-2.166,0,0.251,0.0194,0.0,0.743,0.412,75.975,5WNUX6jisX0NRlVDTm6RDd,HipHop 2022
1xIqDFx3KdByBnKMlTECcM,Coming for You (feat. A1 x J1),6Xz6ZnGZZ1KKct4jTyKKZv,SwitchOTR,21CCyLhWrr8nA2wKhUf6zH,178285,2021-10-29,85,0.813,0.481,1,-6.71,1,0.231,0.217,0.0,0.0931,0.842,140.122,5WNUX6jisX0NRlVDTm6RDd,HipHop 2022
