track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name
0f2489MzoisF9pKduawvce,Autumn In New York,5V0MlUE1Bft0mbLlND7FJz,Ella Fitzgerald,4zWqQOob980K9drUrUGM8M,356626,1957-02-25,63,0.425,0.0469,7,-18.612,0,0.0354,0.955,0.0,0.137,0.154,135.335,37i9dQZF1DXbITWG1ZJKYt,Jazz Classics
1BPmVDqR4cX9aFC0Qx0eWn,My One And Only Love,2hGh5VOeeqimQFxqXvfCUf,John Coltrane,0hc0DLxQyod6p5UdCjNOJS,296666,1975-01-01,57,0.461,0.0546,0,-18.982,1,0.0362,0.988,0.208,0.126,0.23,128.91,37i9dQZF1DXbITWG1ZJKYt,Jazz Classics
5z7deaTe21B7QVPhSDouL1,'Long As You Know You're Living Yours,0F3Aew9DSd6fb6192K1K0Y,Keith Jarrett,6dmq2NJgWAvrzRVrpPwkzv,370866,1974-10-01,53,0.605,0.376,5,-14.978,1,0.0322,0.253,0.207,0.117,0.948,131.927,37i9dQZF1DXbITWG1ZJKYt,Jazz Classics
6yKkA8HzwWTZ5taIMaG4Nm,My Foolish Heart,3VEG6gxFIMfl4Cdog26avS,Bill Evans Trio,0MjlKhtsyax9HSWNkYaWM2,297320,1961,65,0.395,0.121,9,-23.427,1,0.0327,0.935,0.397,0.697,0.139,114.521,37i9dQZF1DXbITWG1ZJKYt,Jazz Classics
4Y5fyQ5fBysC32Na5sZT3J,Everything Happens to Me,3rxeQlsv0Sc2nyYaZ5W71T,Chet Baker,05GsIfSvuy3bSY5EodA0Cc,305186,2010-01-01,57,0.511,0.193,7,-15.148,1,0.0439,0.809,2.17e-05,0.129,0.164,116.348,37i9dQZF1DXbITWG1ZJKYt,Jazz Classics
1pZn8AX1WulW8IO338hE5D,Blue Moon,1YzCsTRb22dQkh9lghPIrp,Billie Holiday,4izD3SCRElbkO06i8yf4Zp,207826,1956-01-01,67,0.639,0.269,8,-11.435,1,0.0698,0.982,0.12,0.141,0.539,124.866,37i9dQZF1DXbITWG1ZJKYt,Jazz Classics
2IdwQxhJn9ZE4zIotcCefR,Stormy Weather,0iOVhN3tnSvgDbcg25JoJb,Etta James,7rd4PorIOPjPTy7qdUeeCt,187666,1960,67,0.262,0.356,0,-8.031,0,0.0303,0.613,0.0,0.175,0.426,174.176,37i9dQZF1DXbITWG1ZJKYt,Jazz Classics
0ldmR2mJJNEoBIINfZWdv6,These Foolish Things (Remastered),05E3NBxNMdnrPtxF9oraJm,Lester Young,2S7vHpbNXV2tnThghKRCEz,190933,2014-09-01,0,0.593,0.103,10,-14.961,1,0.081,0.986,0.6,0.12,0.443,66.283,37i9dQZF1DXbITWG1ZJKYt,Jazz Classics
1cpANF6zMBoFoxkoIjZHjv,Skating In Central Park,4jXfFzeP66Zy67HM2mvIIF,Bill Evans,3b2s2A8DPISbaQNxhrEsGQ,324200,1962,64,0.478,0.0294,0,-25.319,1,0.0453,0.993,0.948,0.105,0.148,124.308,37i9dQZF1DXbITWG1ZJKYt,Jazz Classics
7gHFBNy0Qn86xGKJ9OdFTw,Misty,1bgyxtWjZwA5PQlDsvs9b8,Sarah Vaughan,6pZ5dSsfNRSuMV9RcMyfwU,179373,1958-07-07,65,0.224,0.214,2,-14.455,0,0.0348,0.976,0.00094,0.367,0.14,83.906,37i9dQZF1DXbITWG1ZJKYt,Jazz Classics
