track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name
1W1Fchq0voTFhKGWmn57uW,The Trooper,6mdiAmATAx73kdxrNrnlao,Iron Maiden,4JU0itrrrWm2AmKEVopdpF,250946,1983,0,0.285,0.866,4,-6.762,0,0.0674,0.0175,0.0575,0.541,0.62,162.307,37i9dQZF1DX2LTcinqsO68,Old School Metal
1jzDzZWeSDBg5fhNc3tczV,Paranoid,5M52tdBnJaKSvOpJGz8mfZ,Black Sabbath,132qAo1cDiEJdA3fv4xyNK,168440,1970-09-18,80,0.429,0.631,4,-11.514,0,0.0769,7.85e-05,0.00411,0.175,0.376,162.734,37i9dQZF1DX2LTcinqsO68,Old School Metal
3AVZaAbDvR6rs2NN4n0aAF,Ace of Spades,1DFr97A9HnbV3SKTJFu62M,Motörhead,0sbAKeTchIsRqECNFjPHSf,166706,1980-11-07,0,0.321,0.99,6,-4.461,1,0.204,0.00248,0.00631,0.0924,0.209,140.574,37i9dQZF1DX2LTcinqsO68,Old School Metal
5qFxuUIAwJlzO60vqOiL7y,Rainbow In The Dark,4CYeVo5iZbtYGBN4Isc3n6,Dio,1QJmLRcuIMMjZ49elafR3K,252693,1983,67,0.508,0.912,9,-8.049,0,0.0368,7.06e-05,0.403,0.0492,0.682,117.582,37i9dQZF1DX2LTcinqsO68,Old School Metal
2RaA6kIcvomt77qlIgGhCT,Breaking the Law,2tRsMl4eGxwoNabM08Dm4I,Judas Priest,5bqtZRbUZUxUps8mrO9tGY,153840,1980,71,0.362,0.961,2,-5.664,1,0.0857,0.024,9.35e-06,0.159,0.491,164.019,37i9dQZF1DX2LTcinqsO68,Old School Metal
5qrNtSNkPsWfjqaYNugzYT,Rock You Like a Hurricane - 2015 - Remaster,27T030eWyCQRmDyuvr1kxY,Scorpions,1FcFWr00ABVqIcgiPvgvZJ,253666,1984,0,0.402,0.873,4,-3.209,0,0.0586,0.00484,7.3e-05,0.157,0.684,125.443,37i9dQZF1DX2LTcinqsO68,Old School Metal
4PSiPZp8MYMDZzuBhCLgc6,Wasted Years - 1998 Remaster,6mdiAmATAx73kdxrNrnlao,Iron Maiden,6Iqmuo6t66LmiO3al7U8ZD,307573,1986,0,0.242,0.953,4,-5.555,0,0.115,0.0605,3.38e-05,0.135,0.342,153.738,37i9dQZF1DX2LTcinqsO68,Old School Metal
51TG9W3y9qyO8BY5RXKgnZ,Symphony Of Destruction,1Yox196W7bzVNZI7RBaPnf,Megadeth,1w9opfGdFtR3ulNHxnnO1e,246733,1992-07-14,73,0.61,0.891,4,-5.452,0,0.0587,0.000805,0.0928,0.0657,0.51,139.903,37i9dQZF1DX2LTcinqsO68,Old School Metal
3uMmllZo1AfoEnVT4ENCD3,Highway Star - Remastered 2012,568ZhdwyaiCyOGJRtNYhWf,Deep Purple,32NQ56VZDTXSH3SMv4XSGN,366136,1972-03-25,69,0.307,0.909,9,-7.08,0,0.0574,0.135,0.0336,0.125,0.443,173.674,37i9dQZF1DX2LTcinqsO68,Old School Metal
7txxAtOMwLLnQTpKeBL6bp,Mother,34c4iQ5tkaZKu6Sv28BTde,Danzig,3elIDlrTtrgKfbxYVgp3uW,204866,1988-01-01,75,0.365,0.763,11,-9.45,0,0.0591,0.00726,0.000457,0.0865,0.342,148.366,37i9dQZF1DX2LTcinqsO68,Old School Metal
2b9lp5A6CqSzwOrBfAFhof,Crazy Train,6ZLTlhejhndI4Rh53vYhrY,Ozzy Osbourne,6aGfK3YpRxZ1rJfaNRckLH,296200,1980-09-20,6,0.453,0.905,9,-4.001,1,0.115,0.36,0.000569,0.26,0.474,137.571,37i9dQZF1DX2LTcinqsO68,Old School Metal
1LDAh7QQnWvp3GJ9QDa1Pj,Seek & Destroy,2ye2Wgw4gimLv2eAKyk1NB,Metallica,6FMPDVTm8l5IrEQla46VQl,415400,1983-07-25,0,0.461,0.95,9,-6.189,1,0.179,0.0638,0.0149,0.211,0.535,140.77,37i9dQZF1DX2LTcinqsO68,Old School Metal
54yLLvpezvPO1lA3GspiZj,Holy Diver,4CYeVo5iZbtYGBN4Isc3n6,Dio,1QJmLRcuIMMjZ49elafR3K,340640,1983,68,0.473,0.783,10,-10.671,0,0.0869,0.0125,0.475,0.268,0.124,91.976,37i9dQZF1DX2LTcinqsO68,Old School Metal
3HzWxmvpQU3QHQ59zw1X4V,Heaven and Hell - 2009 Remaster,5M52tdBnJaKSvOpJGz8mfZ,Black Sabbath,0Dj2B19o99FcJii6aPvMTr,417840,1980-04-25,63,0.333,0.445,3,-16.343,0,0.0283,0.00858,0.0451,0.167,0.35,89.371,37i9dQZF1DX2LTcinqsO68,Old School Metal
6aYXSH9JZrD30Av2KlAOMY,2 Minutes to Midnight - 1998 Remaster,6mdiAmATAx73kdxrNrnlao,Iron Maiden,4hFcwazEjeg3gJEu0AuxM7,359760,1984,0,0.459,0.953,4,-6.518,0,0.066,0.000275,0.000305,0.141,0.517,95.074,37i9dQZF1DX2LTcinqsO68,Old School Metal
7GonnnalI2s19OCQO1J7Tf,Kickstart My Heart,0cc6vw3VN8YlIcvr1v7tBL,Mötley Crüe,6pL7kL9cOc0DpWCq6qJtxQ,282653,1989,78,0.359,0.981,7,-3.622,0,0.303,0.00125,0.00236,0.284,0.271,178.98,37i9dQZF1DX2LTcinqsO68,Old School Metal
07QREe91FdXnDtJ2cBAVUs,I Want Out,4pQN0GB0fNEEOfQCaWotsY,Helloween,6R5eGZsNEdZ2mJOChFTPwr,280306,1988,0,0.483,0.871,0,-8.033,1,0.041,0.000444,0.000498,0.287,0.58,90.98,37i9dQZF1DX2LTcinqsO68,Old School Metal
4f3RDq9nYPBeR1yMSgnmBm,You've Got Another Thing Coming,2tRsMl4eGxwoNabM08Dm4I,Judas Priest,55MZQrenomrTq0aQneC7Pi,310080,1982,67,0.519,0.833,6,-6.947,0,0.0496,0.00572,4.33e-06,0.104,0.532,138.225,37i9dQZF1DX2LTcinqsO68,Old School Metal
