track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name
0b18g3G5spr4ZCkz7Y6Q0Q,Rasputin,6QMABvTzixnxzsLYyhqRxI,Majestic,6PzYuR9c0CYCPJTnqylPhd,186209,2021-02-26,86,0.758,0.913,6,-2.926,0,0.113,0.00364,6.92e-05,0.193,0.658,128.04,7BPqSXz0xyT3yM7Mqu3iVd,Remixes 2022 🌟 House Remixes of Pop Songs  🔥 
4TsZRUkCpHnB2SZKxBjXHE,Astronaut In The Ocean,0pxkbA5HKBZkMyqyhINQqd,Michael Ford,3PLieXdk2EXul6OGwzsnj8,144370,2021-05-14,57,0.873,0.683,2,-8.045,1,0.0863,0.163,4.43e-05,0.0654,0.691,129.996,7BPqSXz0xyT3yM7Mqu3iVd,Remixes 2022 🌟 House Remixes of Pop Songs  🔥 
20McUFi8KCIVdNDLrkTDuZ,Goosebumps,2o08sCWF5yyo2G4DCiT7T9,HVME,49HjM8mnjS9PgYjSC03tkS,163208,2020-06-12,81,0.767,0.659,1,-7.429,1,0.0444,0.325,0.0,0.13,0.439,124.946,7BPqSXz0xyT3yM7Mqu3iVd,Remixes 2022 🌟 House Remixes of Pop Songs  🔥 
5Eus1aX6k4CFOTgCbXPYKy,Jeanny,4FDj6mh458K7m9Txwyj2rt,Harris & Ford,7k1pVlDQJFI6CHJol4OBq4,167195,2021-09-10,54,0.685,0.85,7,-3.822,0,0.166,0.0506,0.0,0.243,0.231,123.088,7BPqSXz0xyT3yM7Mqu3iVd,Remixes 2022 🌟 House Remixes of Pop Songs  🔥 
45Tw6lZSlOXzZGyMD6i2HO,Somebody Told Me,6fllSzvyC7OruOFZisOELq,Ian Storm,3oNfLMMGfsYsHniavLM8zj,197661,2021-11-05,57,0.685,0.866,1,-3.772,1,0.046,0.0527,0.0,0.414,0.568,124.041,7BPqSXz0xyT3yM7Mqu3iVd,Remixes 2022 🌟 House Remixes of Pop Songs  🔥 
5u7eH4EJNSHGYmIXhMhS2r,MONTERO (Call Me By Your Name),0EWdr127T6P9f1rJ8HaSQn,Am3ba & Ezax,0PZy9x1QhrNlnYzMK8DjF2,167236,2021-08-20,46,0.598,0.588,8,-4.485,0,0.0955,0.0643,0.00962,0.117,0.391,177.977,7BPqSXz0xyT3yM7Mqu3iVd,Remixes 2022 🌟 House Remixes of Pop Songs  🔥 
16vW1AOTHxVx4jzf6xZjJR,Last Christmas,0wfl4Df1okXQp1cCxkHo6E,Harddope,4xgRlqYlBjdJjsJZ6c7rmv,207130,2021-12-17,54,0.715,0.838,11,-4.985,0,0.0337,0.00372,0.0,0.345,0.657,114.954,7BPqSXz0xyT3yM7Mqu3iVd,Remixes 2022 🌟 House Remixes of Pop Songs  🔥 
7ks1xVLYe337tWhez7JX1p,White Rabbit,6fllSzvyC7OruOFZisOELq,Ian Storm,0i1hHCqwYA4tr5QAJBIgzI,184424,2021-12-10,61,0.669,0.658,6,-6.304,0,0.0431,0.0063,0.00655,0.682,0.107,116.996,7BPqSXz0xyT3yM7Mqu3iVd,Remixes 2022 🌟 House Remixes of Pop Songs  🔥 
4BJ2Cmu4sna57A8EovCfAU,California Dreamin',6fllSzvyC7OruOFZisOELq,Ian Storm,0fedeJQMCova3mMo1MZvEW,191886,2021-02-19,70,0.583,0.805,1,-3.69,0,0.11,0.0679,2.2e-05,0.161,0.464,109.924,7BPqSXz0xyT3yM7Mqu3iVd,Remixes 2022 🌟 House Remixes of Pop Songs  🔥 
6tZVfJMk9iuLNLmagoensg,Killing Me Softly (feat. Kate Aster),3qAjjqNnd5dxyHl8sRJGeg,DJ Blighty,3EMwVhINpskxYG3yIM8rRU,175750,2021-07-30,55,0.649,0.768,7,-6.759,1,0.039,0.052,0.0,0.285,0.327,120.003,7BPqSXz0xyT3yM7Mqu3iVd,Remixes 2022 🌟 House Remixes of Pop Songs  🔥 
