track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name
6ZOcbKub95XSDESsKKuH41,Desesperados,1mcTU81TzQhprhouKaTkpq,Rauw Alejandro,3w1Tr9F91XMcsmBJQ8hS7H,224996,2021-12-11,87,0.869,0.694,1,-3.35,0,0.0783,0.356,0.00125,0.0878,0.511,90.02,37i9dQZF1DWY7IeIP1cdjF,Baila Reggaeton
7iHHlCbsFou5DZSW5HCPfs,Ella - Remix,2NfSBtmWe7oPw1EmetJVso,Boza,1XWOwAxb9awdotZSHQnAMH,330477,2021-10-29,86,0.747,0.812,3,-4.274,0,0.111,0.341,0.000131,0.174,0.884,180.062,37i9dQZF1DWY7IeIP1cdjF,Baila Reggaeton
51yjkR9blUWtAphR7lZl5y,Ley Seca,0EFisYRi20PTADoJrifHrz,Jhay Cortez,2FA49rbLgNqFX28k1RE4Vn,263653,2021-09-02,80,0.754,0.847,8,-3.731,1,0.0926,0.127,0.0,0.174,0.546,104.973,37i9dQZF1DWY7IeIP1cdjF,Baila Reggaeton
1mSviQV9iQnGSRyvTIuxAj,Problemón,5J7rXWjtn5HzUkJ4Jet8Fr,Alvaro Diaz,7jg09IJJXi1eigVLZja2hN,192613,2021-10-29,65,0.706,0.739,10,-3.753,1,0.0586,0.266,2.62e-05,0.126,0.371,91.906,37i9dQZF1DWY7IeIP1cdjF,Baila Reggaeton
4vv8wcnT04GHHbUCFBAiHF,23 (With Ape Drums),7qYeIN2r4H1kBvr0Gm9Iav,Randy,6uEzgIGDVyYfx0yyfON43T,167504,2021-10-14,81,0.828,0.724,6,-3.555,0,0.0715,0.0424,1.68e-06,0.468,0.896,96.058,37i9dQZF1DWY7IeIP1cdjF,Baila Reggaeton
2JPLbjOn0wPCngEot2STUS,Yonaguni,4q3ewBCX7sLwd24euuV69X,Bad Bunny,6VSOIs13DaSG2IPilNviX5,206710,2021-06-04,94,0.644,0.648,1,-4.601,1,0.118,0.276,0.0,0.135,0.44,179.951,37i9dQZF1DWY7IeIP1cdjF,Baila Reggaeton
0rsTDgGRlXKuzSAxcdb4Ns,Borracho,77ziqFxp5gaInVrF2lj4ht,Sech,0DzwLlhnxgjPgL3uWNZTWG,219750,2021-11-26,83,0.787,0.748,8,-3.752,0,0.0797,0.571,0.0,0.214,0.703,93.006,37i9dQZF1DWY7IeIP1cdjF,Baila Reggaeton
2BEcap3xJtmiPaHKyfQi4e,Nostálgico,1fctva4kpRbg2k3v7kwRuS,Rvssian,3752EkZZ1wjEzZ1MRd9rsV,209883,2021-09-08,91,0.734,0.846,9,-3.425,0,0.0489,0.166,1.74e-06,0.235,0.604,98.026,37i9dQZF1DWY7IeIP1cdjF,Baila Reggaeton
5W1qmxHrMlQGGAiFA3ZQqP,Se Le Ve,3fZk3Gm5dN5v5yfYMQ04Bx,Dímelo Flow,5Jx8mw0p0lG63WqxHqim0s,277693,2021-08-12,85,0.562,0.755,7,-4.367,0,0.112,0.0967,2.25e-05,0.143,0.609,83.997,37i9dQZF1DWY7IeIP1cdjF,Baila Reggaeton
6lX6l7OuA3qrnIRfdsr0dw,Medallo,1TA5sGRlKUJXBN4ZyJuDIX,Blessd,50SdnzlrXUMadt9JYeaJSh,233453,2021-10-27,90,0.787,0.7,4,-4.598,0,0.0768,0.568,0.00051,0.663,0.791,90.02,37i9dQZF1DWY7IeIP1cdjF,Baila Reggaeton
