track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name
3NfxSdJnVdon1axzloJgba,I Say a Little Prayer,7nwUJBm0HE4ZxD3f5cy5ok,Aretha Franklin,55HZ2ectg1mMTEKDqIq3kC,216773,1968-06-14,77,0.592,0.355,9,-14.051,1,0.0352,0.478,0.0,0.0585,0.499,133.032,73sIU7MIIIrSh664eygyjm,Soul Classics | Soul Songs | Aretha Franklin - Respect
7s25THrKz86DM225dOYwnr,Respect,7nwUJBm0HE4ZxD3f5cy5ok,Aretha Franklin,5WndWfzGwCkHzAbQXVkg2V,147600,1967-03-10,75,0.805,0.558,0,-5.226,1,0.041,0.164,2.2e-05,0.0546,0.965,114.95,73sIU7MIIIrSh664eygyjm,Soul Classics | Soul Songs | Aretha Franklin - Respect
4uCbetXW9LStYPUjCpBVp9,Son of a Preacher Man,7nwUJBm0HE4ZxD3f5cy5ok,Aretha Franklin,5TGmpcEuZsVIoxDWnJIan5,199266,1970-01-15,62,0.474,0.473,2,-11.454,1,0.0601,0.545,1.25e-06,0.0356,0.561,77.583,73sIU7MIIIrSh664eygyjm,Soul Classics | Soul Songs | Aretha Franklin - Respect
1EoUOoBZjrtWwEcnbQ1j3Z,Wonderful World,60df5JBRRPcnSpsIMxxwQm,Otis Redding,26SouQ1C9LAr675wbykDM0,190186,2021-03-26,32,0.854,0.523,3,-9.179,1,0.0435,0.566,0.000183,0.0312,0.964,105.716,73sIU7MIIIrSh664eygyjm,Soul Classics | Soul Songs | Aretha Franklin - Respect
4x4rWQXOcRdWE4tArReSJr,Move On Up,2AV6XDIs32ofIJhkkDevjm,Curtis Mayfield,26SouQ1C9LAr675wbykDM0,165789,2021-03-26,32,0.538,0.969,11,-5.626,0,0.0907,0.419,0.00144,0.12,0.928,138.654,73sIU7MIIIrSh664eygyjm,Soul Classics | Soul Songs | Aretha Franklin - Respect
0rcFM7ekfAOPrBgFomxtFz,Ain't No Sunshine,0PDqlUGugF5Jt6DZyATvfz,Betty Wright,26SouQ1C9LAr675wbykDM0,194600,2021-03-26,31,0.412,0.577,5,-6.245,0,0.0308,0.669,0.000511,0.185,0.732,134.082,73sIU7MIIIrSh664eygyjm,Soul Classics | Soul Songs | Aretha Franklin - Respect
4yQw7FR9lcvL6RHtegbJBh,Think,7nwUJBm0HE4ZxD3f5cy5ok,Aretha Franklin,55HZ2ectg1mMTEKDqIq3kC,139733,1968-06-14,69,0.687,0.63,6,-10.817,1,0.0389,0.251,0.0,0.221,0.926,110.051,73sIU7MIIIrSh664eygyjm,Soul Classics | Soul Songs | Aretha Franklin - Respect
6E2xSghivZVmTTy3m0NNHS,Bloodline,5tHs3fthucNRGAFpdE9rmz,Gabriels,0sw9A3w2cRMHywBMmMUD3h,229440,2021-11-10,41,0.276,0.215,0,-10.785,0,0.0432,0.588,0.0287,0.108,0.207,178.442,73sIU7MIIIrSh664eygyjm,Soul Classics | Soul Songs | Aretha Franklin - Respect
2JhjAFfM6bmf6rov6fC98w,Everybody Needs Somebody to Love,4nts0oxMT67lVUoi5Kjxrb,Solomon Burke,26SouQ1C9LAr675wbykDM0,164826,2021-03-26,35,0.659,0.505,8,-10.453,1,0.0431,0.187,0.0,0.229,0.871,76.205,73sIU7MIIIrSh664eygyjm,Soul Classics | Soul Songs | Aretha Franklin - Respect
5CDKSnMQLe8M8nDyEca00G,I'm Every Woman,6mQfAAqZGBzIfrmlZCeaYT,Chaka Khan,26SouQ1C9LAr675wbykDM0,245120,2021-03-26,32,0.539,0.969,0,-3.713,0,0.0781,0.104,5.99e-06,0.341,0.651,114.463,73sIU7MIIIrSh664eygyjm,Soul Classics | Soul Songs | Aretha Franklin - Respect
