track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name
0G3S4MVnjb8w30RZk04PI9,Tirador,0e7I5fhtxrhsH8xrjGGDiv,Abra,0hKudBWmBfdLfgG3jO75Ou,204500,2018-02-14,23,0.881,0.803,2,-9.34,0,0.298,0.323,7.56e-05,0.117,0.933,154.1,,
3cjagL4KelPVGSdXOZSnFt,Nadarama,0e7I5fhtxrhsH8xrjGGDiv,Abra,0hKudBWmBfdLfgG3jO75Ou,252427,2018-02-14,24,0.395,0.42,0,-8.457,1,0.0614,0.474,0.552,0.106,0.564,73.401,,
2rx51mcKBTEDFkaqxsFhRg,Shabugg,0e7I5fhtxrhsH8xrjGGDiv,Abra,0hKudBWmBfdLfgG3jO75Ou,193989,2018-02-14,17,0.894,0.707,5,-7.949,0,0.197,0.157,2.81e-06,0.395,0.357,116.035,,
0hFtGykXOriTvTL63YrFkl,Apoy,0e7I5fhtxrhsH8xrjGGDiv,Abra,0hKudBWmBfdLfgG3jO75Ou,251000,2018-02-14,32,0.908,0.624,2,-8.435,1,0.246,0.00734,0.00018,0.223,0.216,88.023,,
5kWU297LVffypKeE0vM7ao,Pause,0e7I5fhtxrhsH8xrjGGDiv,Abra,1waSktqN636A1pwqhnuUMZ,211992,2017-08-25,18,0.955,0.817,4,-5.018,1,0.0922,0.356,0.0,0.0973,0.83,117.08,,
2PUJbj9SImKzvEnMrQU1J8,Alab Ng Puso,0e7I5fhtxrhsH8xrjGGDiv,Abra,6WwFBsRBYls8NGYBkpaIHh,209714,2013-02-01,22,0.55,0.87,8,-7.632,1,0.0989,0.351,1.27e-06,0.148,0.66,113.212,,
0HTaguF28hQmlltXKsc8EN,Alab Ng Puso - Minus One,0e7I5fhtxrhsH8xrjGGDiv,Abra,6WwFBsRBYls8NGYBkpaIHh,207728,2013-02-01,4,0.574,0.652,8,-10.318,1,0.0293,0.0145,0.766,0.152,0.682,170.102,,
3bjWcffGJnZJ7ofpNlOADi,Dedma,4NeCu267LZemnoq44lZYKy,Julie Anne San Jose,6aDltPbaZmkC8MeGhKfvaj,227518,2014-10-31,33,0.728,0.851,8,-8.132,1,0.233,0.703,5.59e-05,0.109,0.482,138.163,,
1SJSfVT8ONvuddiistQH73,Stargazer,4mrrcDjpjUq27YEGwlisgs,Gracenote,2yDV2QdYGYeLycd2zeBnRr,260034,2017-08-25,17,0.681,0.644,6,-6.729,1,0.0616,0.606,2.33e-06,0.0743,0.334,160.168,,
4QJbP6dS3HeG6zq0oYUsgj,We Wish You A Merry Christmas,4mrrcDjpjUq27YEGwlisgs,Gracenote,0tHsNPEtTsNSkT977fE2XE,205489,2017-10-13,14,0.721,0.644,2,-11.762,1,0.114,0.309,0.000621,0.298,0.302,120.244,,
0HQwtib9myGnwYav5f65g6,Stargazer,4mrrcDjpjUq27YEGwlisgs,Gracenote,3nEHVcFu7sLCx29sHU5i6f,254767,2019-03-15,10,0.487,0.719,6,-7.471,1,0.094,0.773,0.0,0.126,0.542,80.032,,
628A1ThsViFrgjqgRAy4aa,Diwata,5mNum7eUoqWS6NBo91NYHP,Abra,4Pz8kSuNnVrUbZheowq81B,277240,2013-12-01,0,0.72,0.837,1,-7.264,1,0.0359,0.49,0.0,0.208,0.917,92.025,,
3qs5vRk6QTsyeRjZZquDvb,Diwata,5mNum7eUoqWS6NBo91NYHP,Abra,4QOthIuemu9klr2jvmKffr,277240,2013-12-01,0,0.72,0.837,1,-7.264,1,0.0359,0.49,0.0,0.208,0.917,92.025,,
