track_id,track_name,album,artist_name,image
0G3S4MVnjb8w30RZk04PI9,Tirador,Hendrix EP,Abra,https://i.scdn.co/image/ab67616d0000b27338efd481a3100634bd5af6a3
3cjagL4KelPVGSdXOZSnFt,Nadarama,Hendrix EP,Abra,https://i.scdn.co/image/ab67616d0000b27338efd481a3100634bd5af6a3
2rx51mcKBTEDFkaqxsFhRg,Shabugg,Hendrix EP,Abra,https://i.scdn.co/image/ab67616d0000b27338efd481a3100634bd5af6a3
0hFtGykXOriTvTL63YrFkl,Apoy,Hendrix EP,Abra,https://i.scdn.co/image/ab67616d0000b27338efd481a3100634bd5af6a3
0hFtGykXOriTvTL63YrFkl,Apoy,Hendrix EP,Shanti Dope,https://i.scdn.co/image/ab67616d0000b27338efd481a3100634bd5af6a3
5kWU297LVffypKeE0vM7ao,Pause,Pause,Abra,https://i.scdn.co/image/ab67616d0000b27334edcd856b58d02954354146
2PUJbj9SImKzvEnMrQU1J8,Alab Ng Puso,Juan Dela Cruz (Original Motion Picture Soundtrack),Abra,https://i.scdn.co/image/ab67616d0000b273ba3b7a61dff23543dcb09faa
0HTaguF28hQmlltXKsc8EN,Alab Ng Puso - Minus One,Juan Dela Cruz (Original Motion Picture Soundtrack),Abra,https://i.scdn.co/image/ab67616d0000b273ba3b7a61dff23543dcb09faa
3bjWcffGJnZJ7ofpNlOADi,Dedma,Dedma,Julie Anne San Jose,https://i.scdn.co/image/ab67616d0000b273b2f8d0105be86d3125bc0b94
3bjWcffGJnZJ7ofpNlOADi,Dedma,Dedma,Abra,https://i.scdn.co/image/ab67616d0000b273b2f8d0105be86d3125bc0b94
1SJSfVT8ONvuddiistQH73,Stargazer,Stargazer,Gracenote,https://i.scdn.co/image/ab67616d0000b273e9919eb1c728335f93585fb8
1SJSfVT8ONvuddiistQH73,Stargazer,Stargazer,Abra,https://i.scdn.co/image/ab67616d0000b273e9919eb1c728335f93585fb8
4QJbP6dS3HeG6zq0oYUsgj,We Wish You A Merry Christmas,We Wish You A Merry Christmas,Gracenote,https://i.scdn.co/image/ab67616d0000b273f9e990924bbd639c480fecc7
4QJbP6dS3HeG6zq0oYUsgj,We Wish You A Merry Christmas,We Wish You A Merry Christmas,Abra,https://i.scdn.co/image/ab67616d0000b273f9e990924bbd639c480fecc7
0HQwtib9myGnwYav5f65g6,Stargazer,&,Gracenote,https://i.scdn.co/image/ab67616d0000b273f8d66946bf96afd72e4e47cc
0HQwtib9myGnwYav5f65g6,Stargazer,&,Abra,https://i.scdn.co/image/ab67616d0000b273f8d66946bf96afd72e4e47cc
628A1ThsViFrgjqgRAy4aa,Diwata,Abra,Abra,https://i.scdn.co/image/ab67616d0000b27320d0cde02a8b8d7bb0a9d66e
628A1ThsViFrgjqgRAy4aa,Diwata,Abra,Chito Miranda of Parokya Ni Edgar,https://i.scdn.co/image/ab67616d0000b27320d0cde02a8b8d7bb0a9d66e
3qs5vRk6QTsyeRjZZquDvb,Diwata,Diwata (feat. Chito Miranda of Parokya Ni Edgar),Abra,https://i.scdn.co/image/ab67616d0000b273022bb25850bd28f6d408a917
3qs5vRk6QTsyeRjZZquDvb,Diwata,Diwata (feat. Chito Miranda of Parokya Ni Edgar),Chito Miranda of Parokya Ni Edgar,https://i.scdn.co/image/ab67616d0000b273022bb25850bd28f6d408a917
0kN8xEmgMW9mh7UmDYHlJP,Versace on the Floor,24K Magic,Bruno Mars,https://i.scdn.co/image/ab67616d0000b273232711f7d66a1e19e89e28c5
5uCax9HTNlzGybIStD3vDh,Say You Won't Let Go,Back from the Edge,James Arthur,https://i.scdn.co/image/ab67616d0000b27320beb61f61fcbeb33b10a9ab
7BKLCZ1jbUBVqRi2FVlTVw,Closer,Closer,The Chainsmokers,https://i.scdn.co/image/ab67616d0000b273495ce6da9aeb159e94eaa453
7BKLCZ1jbUBVqRi2FVlTVw,Closer,Closer,Halsey,https://i.scdn.co/image/ab67616d0000b273495ce6da9aeb159e94eaa453
2rizacJSyD9S1IQUxUxnsK,All We Know,All We Know,The Chainsmokers,https://i.scdn.co/image/ab67616d0000b273ff8d8c5662a96d41433e9ee1
2rizacJSyD9S1IQUxUxnsK,All We Know,All We Know,Phoebe Ryan,https://i.scdn.co/image/ab67616d0000b273ff8d8c5662a96d41433e9ee1
5MFzQMkrl1FOOng9tq6R9r,Don't Wanna Know,Don't Wanna Know,Maroon 5,https://i.scdn.co/image/ab67616d0000b273eec1912bbc2ff74b8203fe5f
5MFzQMkrl1FOOng9tq6R9r,Don't Wanna Know,Don't Wanna Know,Kendrick Lamar,https://i.scdn.co/image/ab67616d0000b273eec1912bbc2ff74b8203fe5f
6b8Be6ljOzmkOmFslEb23P,24K Magic,24K Magic,Bruno Mars,https://i.scdn.co/image/ab67616d0000b273232711f7d66a1e19e89e28c5
1qOLh0tI7trd1zdDKxYZTe,Starving,HAIZ,Hailee Steinfeld,https://i.scdn.co/image/ab67616d0000b273612495ee5769c99125031be2
1qOLh0tI7trd1zdDKxYZTe,Starving,HAIZ,Grey,https://i.scdn.co/image/ab67616d0000b273612495ee5769c99125031be2
1qOLh0tI7trd1zdDKxYZTe,Starving,HAIZ,Zedd,https://i.scdn.co/image/ab67616d0000b273612495ee5769c99125031be2
5hYTyyh2odQKphUbMqc5gN,"How Far I'll Go - From ""Moana""","How Far I'll Go (From ""Moana"")",Alessia Cara,https://i.scdn.co/image/ab67616d0000b273fb128b1eda22335050f584fe
4pdPtRcBmOSQDlJ3Fk945m,Let Me Love You,Encore,DJ Snake,https://i.scdn.co/image/ab67616d0000b2735045de6786e0af096de73ed4
