track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name,genre_label,predicted_genre_id,predicted_genre,predicted_genre_prob,all_genre_prob,predicted_funky_prob,predicted_hard rock_prob,predicted_hiphop_prob,predicted_pop song_prob,predicted_rnb_prob
000xQL6tZNLJzIrtIgxqSl,Still Got Time (feat. PARTYNEXTDOOR),5ZsFI1h6hIdQRw2ti0hz81,ZAYN,2kGUeTGnkLOYlinKRJe47G,188490,2017-03-23,62,0.7032780969738747,0.6281182513887513,0.005259203606311044,0.9500899124384029,1.0,0.002068198857007479,0.13258466034587216,0.0,0.05662620663561832,0.524,-0.20651159542469089,,,4,4,rnb,0.4049349,[0.21539818 0.08801076 0.0906437  0.20101245 0.4049349 ],0.21539818,0.08801076,0.090643704,0.20101245,0.4049349
003eoIwxETJujVWmNFMoZy,Growing Pains,2wUjUUtkb5lvLKcGKsKqsR,Alessia Cara,3mzHuQmDLVuecodQNKUd0T,193680,2018-06-15,49,0.1874841837164183,0.7567674780527059,0.0007513148009015778,0.9500874534388636,0.0,0.8374109210567997,0.08319434412542512,0.0,0.37094663975483966,0.437,-0.20649922234479745,,,2,2,hiphop,0.8343591,[0.09466676 0.0055501  0.8343591  0.01631148 0.04911261],0.09466676,0.0055501005,0.8343591,0.016311478,0.049112607
007d7JT41sSc1HqWTs4uw7,Love Myself,5p7f24Rk5HkUZsaS3BLG5F,Hailee Steinfeld,3XCCM8UoMEH0RNopJskhsx,218746,2016-07-15,0,0.5348289455556168,0.763802982635891,0.0,0.9500828540146241,0.0,0.008685022093681966,0.003076773797339323,0.0,0.09457565525368702,0.324,-0.20651125115022115,,,3,3,pop song,0.53864384,[0.13363823 0.19312294 0.06428522 0.53864384 0.07030977],0.13363823,0.19312294,0.06428522,0.53864384,0.07030977
0087fDVeNhuyMtST91RMjv,Kundiman,4nGp682WMiKS4X217kPw8C,Silent Sanctuary,08SEZDvRXrrNs1C2y73MLi,339053,2007,67,0.16397965096038253,0.5718342147232711,0.008264462809917356,0.9501030337395884,1.0,-0.04737070683588111,0.5708225071379533,0.0,0.11004418050561723,0.454,-0.20651642390497812,,,3,3,pop song,0.50382996,[0.18868063 0.13656554 0.0136285  0.50382996 0.15729535],0.18868063,0.13656554,0.013628497,0.50382996,0.15729535
00Blm7zeNqgYLPtW6zg8cj,One Right Now (with The Weeknd),246dkjvS1zLTtiykXe5h60,Post Malone,6fgSKdHloRioPrZ9oJC7FH,193506,2021-11-05,93,0.6236238470784194,0.7828993522188217,0.0007513148009015778,0.9501020879705349,1.0,-0.011539984780681545,0.03653668884340446,0.0,0.04662322697270346,0.688,-0.20651581714987066,,,3,3,pop song,0.40091866,[0.2041224  0.10094242 0.11727738 0.40091866 0.17673916],0.2041224,0.10094242,0.11727738,0.40091866,0.17673916
00Cxlg96EHYJG2VoTh7Q3D,Pushin' N Pullin',1z4g3DjTBBZKhvAroFlhOM,Red Velvet,6Pe5LGQgU3mmvuRjFMsACV,183360,2021-08-16,56,0.48651407266820945,0.6823921438876072,0.0015026296018031556,0.9501177578704332,0.0,0.0031918103500276837,0.178129009319645,1.323683633485996e-05,0.060029282191042935,0.721,-0.20650473884518475,,,3,3,pop song,0.6184391,[0.16269462 0.12008338 0.01737133 0.6184391  0.08141156],0.16269462,0.120083384,0.017371327,0.6184391,0.08141156
00bAw28lKcHj3B94a1wJle,Say You Won’t Let Go,39rKElzF7q6K4O2flycSEc,Chlara,1Kbd7hJJipnio37279Oclz,261985,2017-02-24,53,0.32851138025263427,0.2924241755624946,0.0007513148009015778,0.9500603347556851,1.0,-0.015784739309868963,0.8491490841998988,0.0,0.09045071518650563,0.415,-0.2065058561066232,,,3,3,pop song,0.47545427,[0.14396343 0.08407577 0.00835359 0.47545427 0.288153  ],0.14396343,0.08407577,0.008353591,0.47545427,0.288153
00lNx0OcTJrS3MKHcB80HY,You Don't Know Me - Radio Edit,4Q6nIcaBED8qUel8bBx6Cr,Jax Jones,4eYnvtB4sTtfGr0903YMn4,213946,2016-12-09,0,0.8704214410167972,0.6703312788878614,0.008264462809917356,0.9500896635518099,0.0,0.09457887844900359,0.16497175294944397,0.0,0.15954346131179378,0.682,-0.20651105882894796,,,0,0,funky,0.653079,[0.653079   0.00429115 0.24030328 0.04056428 0.06176232],0.653079,0.004291155,0.24030328,0.040564276,0.061762318
00mBzIWv5gHOYxwuEJXjOG,Sa Ngalan Ng Pag-Ibig,4qFxP3qN9GsnZDOkAE6x2m,December Avenue,7xconhHQKj7Be4P2KvUmFz,285138,2017-04-29,66,0.40294240064674836,0.763802982635891,0.005259203606311044,0.9501110379324208,1.0,-0.039630272106186436,0.08612942439262382,0.0,0.12138776569036597,0.271,-0.20650542175317033,,,3,3,pop song,0.4000624,[0.13009079 0.39292976 0.02742607 0.4000624  0.04949094],0.13009079,0.39292976,0.027426066,0.4000624,0.049490944
011GTFfE8rqTRMhz5g8IAW,Repeat,2G7VQ1kVhVfNagytlousgm,Al James,4VvCsIUWUn9vwpPaeDIymm,230000,2020-01-24,59,0.8286356050060665,0.31353068931204964,0.0067618332081142,0.9500161922295421,0.0,0.3542579790581154,0.4392499434359428,0.0007840279982955514,0.04992317902644857,0.571,-0.20651175830723573,,,0,0,funky,0.7750075,[0.7750075  0.00606791 0.06618124 0.01588603 0.13685733],0.7750075,0.0060679056,0.066181235,0.01588603,0.13685733
